,Common Ground,Label,Transcript,Group
205,"blue = 10, red = 20, yellow = 20",0,", green one twenty",3.0
206,green < purple,0,"wait , purple , much ? purple 30. green 20. 's . try",3.0
207,green = purple,0,"wait , purple , much ? purple 30. green 20. 's . try",3.0
208,green != purple,0,"wait , purple , much ? purple 30. green 20. 's . try",3.0
209,green > purple,0,"wait , purple , much ? purple 30. green 20. 's . try",3.0
210,"blue = 40, green = 40, red = 20",0,"red block , blue block two green one 's still kinda dipping",3.0
211,"blue = 30, green = 40, red = 40",0,"red block , blue block two green one 's still kinda dipping",3.0
212,"blue = 40, green = 50, red = 10",0,"red block , blue block two green one 's still kinda dipping",3.0
213,"blue = 50, green = 10, red = 40",0,"red block , blue block two green one 's still kinda dipping",3.0
214,"blue = 40, green = 40, red = 20",0,"red block , blue block two green one 's still kinda dipping",3.0
215,"blue = 30, green = 40, red = 40",0,"red block , blue block two green one 's still kinda dipping",3.0
216,"blue = 40, green = 50, red = 10",0,"red block , blue block two green one 's still kinda dipping",3.0
217,"blue = 50, green = 10, red = 40",0,"red block , blue block two green one 's still kinda dipping",3.0
218,"blue = 40, green = 40, red = 20",0,"red block , blue block , green block 's li-",3.0
219,"blue = 30, green = 40, red = 40",0,"red block , blue block , green block 's li-",3.0
220,"blue = 40, green = 50, red = 10",0,"red block , blue block , green block 's li-",3.0
221,"blue = 50, green = 10, red = 40",0,"red block , blue block , green block 's li-",3.0
222,green != 40,0,green yea,3.0
223,green < 30,0,green yea,3.0
224,green < 20,0,green yea,3.0
225,green > 30,0,green yea,3.0
226,purple < 30,0,purple block thirty,3.0
227,purple > 30,0,purple block thirty,3.0
228,purple = 30,0,purple block thirty,3.0
229,purple != 30,0,purple block thirty,3.0
230,red < 50,0,colored blocks,3.0
231,red != 10,0,colored blocks,3.0
232,red < 20,0,colored blocks,3.0
233,red = 10,0,colored blocks,3.0
234,red > blue,0,compare let 's compare red blue see get baseline blue .,4.0
235,red < blue,0,compare let 's compare red blue see get baseline blue .,4.0
236,blue != red,0,compare let 's compare red blue see get baseline blue .,4.0
237,blue > red,0,compare let 's compare red blue see get baseline blue .,4.0
238,purple < 20,0,consider purple block 30,4.0
239,purple != 50,0,consider purple block 30,4.0
240,purple > 10,0,consider purple block 30,4.0
241,purple > 40,0,consider purple block 30,4.0
242,purple > 20,0,purple block 's purple block 's twenty,4.0
243,purple < 20,0,purple block 's purple block 's twenty,4.0
244,purple != 20,0,purple block 's purple block 's twenty,4.0
245,purple = 20,0,purple block 's purple block 's twenty,4.0
246,purple > 20,0,purple block 's purple block 's twenty,4.0
247,purple < 20,0,purple block 's purple block 's twenty,4.0
248,purple = 20,0,purple block 's purple block 's twenty,4.0
249,"green = 40, red = 40, yellow = 20",0,purple block 's purple block 's twenty,4.0
250,purple < 20,0,purple block 's got ta thi-,4.0
251,purple != 50,0,purple block 's got ta thi-,4.0
252,purple > 10,0,purple block 's got ta thi-,4.0
253,purple > 40,0,purple block 's got ta thi-,4.0
254,yellow < 50,0,okay yellow block fifty,4.0
255,yellow > 50,0,okay yellow block fifty,4.0
256,yellow != 50,0,okay yellow block fifty,4.0
257,"blue = 40, purple = 30, yellow = 50",0,okay yellow block fifty,4.0
258,yellow = 30,0,thirty would yellow,4.0
259,yellow != 30,0,thirty would yellow,4.0
260,yellow < 30,0,thirty would yellow,4.0
261,yellow > 30,0,thirty would yellow,4.0
262,red > blue,0,"red block , blue block",5.0
263,red < blue,0,"red block , blue block",5.0
264,blue != red,0,"red block , blue block",5.0
265,blue > red,0,"red block , blue block",5.0
266,green < purple,0,purple block heavier green block one . put,5.0
267,green = purple,0,purple block heavier green block one . put,5.0
268,green != purple,0,purple block heavier green block one . put,5.0
269,green > purple,0,purple block heavier green block one . put,5.0
270,green < purple,0,purple block green block one .,5.0
271,green = purple,0,purple block green block one .,5.0
272,green != purple,0,purple block green block one .,5.0
273,green > purple,0,purple block green block one .,5.0
274,purple < 30,0,see purple block 's thirty .,5.0
275,purple > 30,0,see purple block 's thirty .,5.0
276,purple = 30,0,see purple block 's thirty .,5.0
277,purple != 30,0,see purple block 's thirty .,5.0
278,purple < 20,0,"n't , n't n't options purple block 's gon na 30 .",5.0
279,purple != 50,0,"n't , n't n't options purple block 's gon na 30 .",5.0
280,purple > 10,0,"n't , n't n't options purple block 's gon na 30 .",5.0
281,purple > 40,0,"n't , n't n't options purple block 's gon na 30 .",5.0
282,yellow < 50,0,yellow block one 's obvious-,5.0
283,yellow != 50,0,yellow block one 's obvious-,5.0
284,yellow != 30,0,yellow block one 's obvious-,5.0
285,yellow < 30,0,yellow block one 's obvious-,5.0
286,"blue = 20, green = 40, yellow = 50",0,"green block , purple block , green block , purple block fifty ri-",5.0
287,"blue = 50, purple = 40, yellow = 50",0,"green block , purple block , green block , purple block fifty ri-",5.0
288,"blue = 50, green = 40, purple = 40",0,"green block , purple block , green block , purple block fifty ri-",5.0
289,"blue = 50, purple = 20, red = 40",0,"green block , purple block , green block , purple block fifty ri-",5.0
290,purple < 30,0,purple block one 's thirty,5.0
291,purple > 30,0,purple block one 's thirty,5.0
292,purple = 30,0,purple block one 's thirty,5.0
293,purple != 30,0,purple block one 's thirty,5.0
294,purple < 30,0,"thirty , okay purple block 's thir-",5.0
295,purple > 30,0,"thirty , okay purple block 's thir-",5.0
296,purple = 30,0,"thirty , okay purple block 's thir-",5.0
297,purple != 30,0,"thirty , okay purple block 's thir-",5.0
298,purple < 20,0,"twenty , right",5.0
299,"blue = 20, purple = 20, red = 20",0,"twenty , right",5.0
300,"blue = 20, green = 20, yellow = 20",0,"twenty , right",5.0
301,"green = 20, purple = 20, yellow = 20",0,"twenty , right",5.0
302,red < 50,0,I tell red cube 10 grams .,6.0
303,red != 10,0,I tell red cube 10 grams .,6.0
304,red < 20,0,I tell red cube 10 grams .,6.0
305,red = 40,0,I tell red cube 10 grams .,6.0
306,red > blue,0,"right , red block red one 's 10 grams . let 's see , seems red block , blue block might .",6.0
307,red < blue,0,"right , red block red one 's 10 grams . let 's see , seems red block , blue block might .",6.0
308,blue != red,0,"right , red block red one 's 10 grams . let 's see , seems red block , blue block might .",6.0
309,blue > red,0,"right , red block red one 's 10 grams . let 's see , seems red block , blue block might .",6.0
310,red > blue,0,"right , red block red one 's 10 grams . let 's see , seems red block , blue block might .",6.0
311,red < blue,0,"right , red block red one 's 10 grams . let 's see , seems red block , blue block might .",6.0
312,blue != red,0,"right , red block red one 's 10 grams . let 's see , seems red block , blue block might .",6.0
313,blue > red,0,"right , red block red one 's 10 grams . let 's see , seems red block , blue block might .",6.0
314,yellow < 50,0,sensitive scale . 's looking kinda even . try yellow block big sucker .,6.0
315,yellow != 50,0,sensitive scale . 's looking kinda even . try yellow block big sucker .,6.0
316,yellow != 30,0,sensitive scale . 's looking kinda even . try yellow block big sucker .,6.0
317,yellow < 30,0,sensitive scale . 's looking kinda even . try yellow block big sucker .,6.0
318,purple < 20,0,making sure purple block n't weight bottom .,6.0
319,purple != 50,0,making sure purple block n't weight bottom .,6.0
320,purple > 10,0,making sure purple block n't weight bottom .,6.0
321,purple > 40,0,making sure purple block n't weight bottom .,6.0
322,"blue = 30, green = 10, purple = 10",0,", purple block , green block 's considerably heavier , purple block one , purple block 30 ? blue block 10 .",6.0
323,"blue = 30, green = 10, purple = 30",0,", purple block , green block 's considerably heavier , purple block one , purple block 30 ? blue block 10 .",6.0
324,"blue = 50, green = 30, purple = 40",0,", purple block , green block 's considerably heavier , purple block one , purple block 30 ? blue block 10 .",6.0
325,"blue = 40, green = 40, purple = 20",0,", purple block , green block 's considerably heavier , purple block one , purple block 30 ? blue block 10 .",6.0
326,"blue = 30, green = 10, purple = 10",0,", purple block , green block 's considerably heavier , purple block one , purple block 30 ? blue block 10 .",6.0
327,"blue = 30, green = 10, purple = 30",0,", purple block , green block 's considerably heavier , purple block one , purple block 30 ? blue block 10 .",6.0
328,"blue = 50, green = 30, purple = 40",0,", purple block , green block 's considerably heavier , purple block one , purple block 30 ? blue block 10 .",6.0
329,"blue = 40, green = 40, purple = 20",0,", purple block , green block 's considerably heavier , purple block one , purple block 30 ? blue block 10 .",6.0
330,yellow < 50,0,"yellow block 's definetly 30 yellow block , yellow block 's heavy",6.0
331,yellow != 50,0,"yellow block 's definetly 30 yellow block , yellow block 's heavy",6.0
332,yellow != 30,0,"yellow block 's definetly 30 yellow block , yellow block 's heavy",6.0
333,yellow < 30,0,"yellow block 's definetly 30 yellow block , yellow block 's heavy",6.0
334,yellow < 50,0,"yellow block 's definetly 30 yellow block , yellow block 's heavy",6.0
335,yellow != 50,0,"yellow block 's definetly 30 yellow block , yellow block 's heavy",6.0
336,yellow != 30,0,"yellow block 's definetly 30 yellow block , yellow block 's heavy",6.0
337,yellow < 30,0,"yellow block 's definetly 30 yellow block , yellow block 's heavy",6.0
338,blue < 10,0,"big blue , 50 .",6.0
339,blue != 50,0,"big blue , 50 .",6.0
340,blue > 40,0,"big blue , 50 .",6.0
341,blue != 30,0,"big blue , 50 .",6.0
342,purple != blue + green + red + yellow,0,"unless 's messing us red block , blue block , green block , purple block , yellow block increments five .",6.0
343,yellow > blue + green + purple + red,0,"unless 's messing us red block , blue block , green block , purple block , yellow block increments five .",6.0
344,blue < green + purple + red + yellow,0,"unless 's messing us red block , blue block , green block , purple block , yellow block increments five .",6.0
345,blue != green + purple + red + yellow,0,"unless 's messing us red block , blue block , green block , purple block , yellow block increments five .",6.0
346,green != 40,0,greens,6.0
347,green < 30,0,greens,6.0
348,green < 20,0,greens,6.0
349,green > 30,0,greens,6.0
350,green != 40,0,greens,6.0
351,green < 30,0,greens,6.0
352,green < 20,0,greens,6.0
353,green > 30,0,greens,6.0
354,"blue = 10, purple = 20, yellow = 20",0,blue block blue . red block ten,7.0
355,"blue = 20, red = 10, yellow = 10",0,blue block blue . red block ten,7.0
356,"purple = 10, red = 20, yellow = 30",0,blue block blue . red block ten,7.0
357,"blue = 10, purple = 20, yellow = 40",0,blue block blue . red block ten,7.0
358,"green = 10, purple = 50, yellow = 50",0,green block 20 purple block 30. 's 20 plus 30. 's exaclty aligning yellow block good 50,7.0
359,"green = 10, purple = 10, yellow = 30",0,green block 20 purple block 30. 's 20 plus 30. 's exaclty aligning yellow block good 50,7.0
360,"green = 30, purple = 40, yellow = 50",0,green block 20 purple block 30. 's 20 plus 30. 's exaclty aligning yellow block good 50,7.0
361,"green = 40, purple = 30, yellow = 10",0,green block 20 purple block 30. 's 20 plus 30. 's exaclty aligning yellow block good 50,7.0
362,blue < 10,0,try putting blue block,7.0
363,blue != 50,0,try putting blue block,7.0
364,blue > 40,0,try putting blue block,7.0
365,blue != 30,0,try putting blue block,7.0
366,red < 50,0,"'ll , , red block",7.0
367,red != 10,0,"'ll , , red block",7.0
368,red < 20,0,"'ll , , red block",7.0
369,red = 10,0,"'ll , , red block",7.0
370,purple < 30,0,"purple block thirty , oops , sorry",7.0
371,purple > 30,0,"purple block thirty , oops , sorry",7.0
372,purple = 30,0,"purple block thirty , oops , sorry",7.0
373,purple != 30,0,"purple block thirty , oops , sorry",7.0
374,purple < 30,0,"purple block thirty , oops , sorry",7.0
375,purple > 30,0,"purple block thirty , oops , sorry",7.0
376,purple = 30,0,"purple block thirty , oops , sorry",7.0
377,purple != 30,0,"purple block thirty , oops , sorry",7.0
378,red > blue,0,"okay . . okay 'll take red block , blue block little fine grain con-",8.0
379,red < blue,0,"okay . . okay 'll take red block , blue block little fine grain con-",8.0
380,blue != red,0,"okay . . okay 'll take red block , blue block little fine grain con-",8.0
381,blue > red,0,"okay . . okay 'll take red block , blue block little fine grain con-",8.0
382,yellow < 50,0,yellow block 's 40,8.0
383,yellow != 50,0,yellow block 's 40,8.0
384,yellow != 30,0,yellow block 's 40,8.0
385,yellow < 30,0,yellow block 's 40,8.0
386,yellow < 50,0,yellow block 's 40 50,8.0
387,yellow != 50,0,yellow block 's 40 50,8.0
388,yellow != 30,0,yellow block 's 40 50,8.0
389,yellow < 30,0,yellow block 's 40 50,8.0
390,yellow < 50,0,"yellow block 40. n't , less 50 actually .",8.0
391,yellow != 50,0,"yellow block 40. n't , less 50 actually .",8.0
392,yellow != 30,0,"yellow block 40. n't , less 50 actually .",8.0
393,yellow < 30,0,"yellow block 40. n't , less 50 actually .",8.0
394,yellow < 50,0,yellow block 49 .,8.0
395,yellow != 50,0,yellow block 49 .,8.0
396,yellow != 30,0,yellow block 49 .,8.0
397,yellow < 30,0,yellow block 49 .,8.0
398,yellow < 50,0,"okay , yellow block 's probably meant 50 yellow block placed differently , calibrated .",8.0
399,yellow != 50,0,"okay , yellow block 's probably meant 50 yellow block placed differently , calibrated .",8.0
400,yellow != 30,0,"okay , yellow block 's probably meant 50 yellow block placed differently , calibrated .",8.0
401,yellow < 30,0,"okay , yellow block 's probably meant 50 yellow block placed differently , calibrated .",8.0
402,red > blue,0,"'d red block , blue block 's equal",9.0
403,red < blue,0,"'d red block , blue block 's equal",9.0
404,blue != red,0,"'d red block , blue block 's equal",9.0
405,blue > red,0,"'d red block , blue block 's equal",9.0
406,"blue = 40, green = 40, red = 20",0,"red block , blue block , green block 's probably equal",9.0
407,"blue = 30, green = 40, red = 40",0,"red block , blue block , green block 's probably equal",9.0
408,"blue = 40, green = 50, red = 10",0,"red block , blue block , green block 's probably equal",9.0
409,"blue = 50, green = 10, red = 40",0,"red block , blue block , green block 's probably equal",9.0
410,"blue = 40, green = 40, red = 20",0,"red block , blue block , green block 's probably equal",9.0
411,"blue = 30, green = 40, red = 40",0,"red block , blue block , green block 's probably equal",9.0
412,"blue = 40, green = 50, red = 10",0,"red block , blue block , green block 's probably equal",9.0
413,"blue = 50, green = 10, red = 40",0,"red block , blue block , green block 's probably equal",9.0
414,green < purple,0,"green block , purple block 's",9.0
415,green = purple,0,"green block , purple block 's",9.0
416,green > purple,0,"green block , purple block 's",9.0
417,purple < green,0,"green block , purple block 's",9.0
418,"blue = 20, green = 40, yellow = 50",0,"okay blue block , green block twenty ten right ?",9.0
419,"green = 10, purple = 10, yellow = 30",0,"okay blue block , green block twenty ten right ?",9.0
420,"green = 40, purple = 30, yellow = 10",0,"okay blue block , green block twenty ten right ?",9.0
421,"blue = 10, purple = 20, yellow = 20",0,"okay blue block , green block twenty ten right ?",9.0
422,"blue = 20, green = 40, yellow = 50",0,"okay blue block , green block twenty ten right ?",9.0
423,"green = 10, purple = 10, yellow = 30",0,"okay blue block , green block twenty ten right ?",9.0
424,"green = 40, purple = 30, yellow = 10",0,"okay blue block , green block twenty ten right ?",9.0
425,"blue = 10, purple = 20, yellow = 20",0,"okay blue block , green block twenty ten right ?",9.0
426,"green = 10, purple = 50, yellow = 50",0,"probably green block , purple block , yellow block 's equal .",9.0
427,"green = 10, purple = 10, yellow = 30",0,"probably green block , purple block , yellow block 's equal .",9.0
428,"green = 30, purple = 40, yellow = 50",0,"probably green block , purple block , yellow block 's equal .",9.0
429,"green = 40, purple = 30, yellow = 10",0,"probably green block , purple block , yellow block 's equal .",9.0
430,red < 50,0,I tell red cube 10 grams .,10.0
431,red != 10,0,I tell red cube 10 grams .,10.0
432,red < 20,0,I tell red cube 10 grams .,10.0
433,red = 40,0,I tell red cube 10 grams .,10.0
434,"blue = 40, green = 40, red = 20",0,"green block 20 red block , blue block 10 10 .",10.0
435,"blue = 30, green = 40, red = 40",0,"green block 20 red block , blue block 10 10 .",10.0
436,"blue = 40, green = 50, red = 10",0,"green block 20 red block , blue block 10 10 .",10.0
437,"blue = 50, green = 10, red = 40",0,"green block 20 red block , blue block 10 10 .",10.0
438,red > blue,0,"red block , blue block 're equal",10.0
