Unnamed: 0,transcript,common_ground,scores,actual_common_ground,Group
47,"purple block , green block looks almost little bit heavier 's close enough fifty option definitely let 's put sixty",green = 50,0.84935814,<m> yellow = 50 </m>,5
48,"purple block , green block looks almost little bit heavier 's close enough fifty option definitely let 's put sixty",red = 50,0.8478242,<m> yellow = 50 </m>,5
49,"purple block , green block looks almost little bit heavier 's close enough fifty option definitely let 's put sixty",blue = 50,0.8465413,<m> yellow = 50 </m>,5
50,"purple block , green block looks almost little bit heavier 's close enough fifty option definitely let 's put sixty",purple = 50,0.84388566,<m> yellow = 50 </m>,5
51,"purple block thirty right red block ten purple block , red block would forty yellow block 's forty less sixty yellow block 's got ta fifty",yellow = 50,0.35481706,<m> yellow = 50 </m>,5
52,"purple block thirty right red block ten purple block , red block would forty yellow block 's forty less sixty yellow block 's got ta fifty",red = 10,0.35025096,<m> yellow = 50 </m>,5
53,"purple block thirty right red block ten purple block , red block would forty yellow block 's forty less sixty yellow block 's got ta fifty",red = 50,0.34418297,<m> yellow = 50 </m>,5
54,"purple block thirty right red block ten purple block , red block would forty yellow block 's forty less sixty yellow block 's got ta fifty",yellow = 30,0.32811004,<m> yellow = 50 </m>,5
55,"purple block thirty right red block ten purple block , red block would forty yellow block 's forty less sixty yellow block 's got ta fifty",purple = 30,0.32764265,<m> yellow = 50 </m>,5
56,yellow block fifty purple block thirty,"purple = 30, yellow = 50",0.07026404,"<m> purple = 30, yellow = 50 </m>",5
57,yellow block fifty purple block thirty,"purple = 50, yellow = 30",0.068439335,"<m> purple = 30, yellow = 50 </m>",5
58,let 's go thirty purple block 's thirty,purple = 30,0.84731174,<m> purple = 30 </m>,5
59,let 's go thirty purple block 's thirty,purple > 30,0.18666229,<m> purple = 30 </m>,5
60,let 's go thirty purple block 's thirty,purple < 30,0.17085235,<m> purple = 30 </m>,5
61,let 's go thirty purple block 's thirty,purple != 30,0.1706968,<m> purple = 30 </m>,5
0,We tell weight red cube ten grams,red = 10,0.8666451,<m> red = 10 </m>,3
1,We tell weight red cube ten grams,red > 10,0.26471272,<m> red = 10 </m>,3
2,We tell weight red cube ten grams,red < 10,0.2326595,<m> red = 10 </m>,3
3,We tell weight red cube ten grams,red != 10,0.09097555,<m> red = 10 </m>,3
4,"red block , blue block 're weight",blue = red,0.9111885,<m> blue = red </m>,3
5,"red block , blue block 're weight",blue > red,0.40951103,<m> blue = red </m>,3
6,"red block , blue block 're weight",red > blue,0.2572018,<m> blue = red </m>,3
7,"red block , blue block 're weight",blue < red,0.15820906,<m> blue = red </m>,3
8,"red block , blue block 're weight",blue != red,0.12735513,<m> blue = red </m>,3
9,sufficient green block one 's probably twenty,green = 20,0.9244613,<m> green = 20 </m>,3
10,sufficient green block one 's probably twenty,green < 20,0.09949103,<m> green = 20 </m>,3
11,sufficient green block one 's probably twenty,green > 20,0.0948367,<m> green = 20 </m>,3
12,sufficient green block one 's probably twenty,green != 20,0.08145741,<m> green = 20 </m>,3
13,purple one thirty,purple = 30,0.52390426,<m> purple = 30 </m>,3
14,purple one thirty,purple > 30,0.056584828,<m> purple = 30 </m>,3
15,purple one thirty,purple != 30,0.054785363,<m> purple = 30 </m>,3
16,purple one thirty,purple < 30,0.053044993,<m> purple = 30 </m>,3
17,green twenty purple thirty yellow block weighs fifty,"green = 20, purple = 30, yellow = 50",0.017841093,"<m> green = 20, purple = 30, yellow = 50 </m>",3
18,green twenty purple thirty yellow block weighs fifty,"green = 30, purple = 20, yellow = 50",0.012405487,"<m> green = 20, purple = 30, yellow = 50 </m>",3
19,green twenty purple thirty yellow block weighs fifty,"green = 20, purple = 50, yellow = 30",0.009626549,"<m> green = 20, purple = 30, yellow = 50 </m>",3
20,green twenty purple thirty yellow block weighs fifty,"green = 30, purple = 50, yellow = 20",0.008725334,"<m> green = 20, purple = 30, yellow = 50 </m>",3
21,green twenty purple thirty yellow block weighs fifty,"green = 50, purple = 20, yellow = 30",0.007989174,"<m> green = 20, purple = 30, yellow = 50 </m>",3
22,mentioned green twenty,green = 20,0.8570771,<m> green = 20 </m>,3
23,mentioned green twenty,green > 20,0.046495363,<m> green = 20 </m>,3
24,mentioned green twenty,green < 20,0.04550224,<m> green = 20 </m>,3
25,mentioned green twenty,green != 20,0.04452526,<m> green = 20 </m>,3
26,yellow course ten,yellow = 10,0.86291236,<m> yellow != 10 </m>,3
27,yellow course ten,yellow < 10,0.046012044,<m> yellow != 10 </m>,3
28,yellow course ten,yellow > 10,0.044873808,<m> yellow != 10 </m>,3
29,yellow course ten,yellow != 10,0.044810373,<m> yellow != 10 </m>,3
30,"try purple block , green block",blue != green + purple + red,0.914438,<m> yellow > blue + green + red </m>,3
31,"try purple block , green block",purple != blue + red + yellow,0.91417897,<m> yellow > blue + green + red </m>,3
32,"try purple block , green block",green != purple + red + yellow,0.9133156,<m> yellow > blue + green + red </m>,3
33,"try purple block , green block",green > purple + red + yellow,0.9131647,<m> yellow > blue + green + red </m>,3
34,"try purple block , green block",purple != green + red + yellow,0.9130067,<m> yellow > blue + green + red </m>,3
35,feel yellow fifty,yellow = 50,0.88753444,<m> yellow = 50 </m>,3
36,feel yellow fifty,yellow < 50,0.06265651,<m> yellow = 50 </m>,3
37,feel yellow fifty,yellow > 50,0.05630063,<m> yellow = 50 </m>,3
38,feel yellow fifty,yellow != 50,0.05413665,<m> yellow = 50 </m>,3
39,yellow block 's sure thirty,yellow = 30,0.90830594,<m> yellow != 30 </m>,3
40,yellow block 's sure thirty,yellow < 30,0.09192662,<m> yellow != 30 </m>,3
41,yellow block 's sure thirty,yellow > 30,0.08074633,<m> yellow != 30 </m>,3
42,yellow block 's sure thirty,yellow != 30,0.054136105,<m> yellow != 30 </m>,3
43,"yellow block must red block , blue block , purple block right comparing yellow block forty yellow block 's",blue != purple + red + yellow,0.9298483,<m> yellow = 50 </m>,3
44,"yellow block must red block , blue block , purple block right comparing yellow block forty yellow block 's",purple != blue + red + yellow,0.9298483,<m> yellow = 50 </m>,3
45,"yellow block must red block , blue block , purple block right comparing yellow block forty yellow block 's",red < blue + purple + yellow,0.9298482,<m> yellow = 50 </m>,3
46,"yellow block must red block , blue block , purple block right comparing yellow block forty yellow block 's",green != blue + red + yellow,0.9298481,<m> yellow = 50 </m>,3
47,"yellow block must red block , blue block , purple block right comparing yellow block forty yellow block 's",blue != green + red + yellow,0.92984784,<m> yellow = 50 </m>,3
48,yellow block fifty,purple = green + red + yellow,0.9040173,"<m> purple = 30, yellow = 50 </m>",3
49,yellow block fifty,purple = blue + red + yellow,0.90369153,"<m> purple = 30, yellow = 50 </m>",3
50,yellow block fifty,green = purple + red + yellow,0.9035069,"<m> purple = 30, yellow = 50 </m>",3
51,yellow block fifty,purple = blue + green + yellow,0.9020232,"<m> purple = 30, yellow = 50 </m>",3
52,yellow block fifty,red = green + purple + yellow,0.9017893,"<m> purple = 30, yellow = 50 </m>",3
0,And tell red cube right ten grams yep 're going 're going flip piece paper um,red = 10,0.5992085,<m> red = 10 </m>,2
1,And tell red cube right ten grams yep 're going 're going flip piece paper um,red > 10,0.23587158,<m> red = 10 </m>,2
2,And tell red cube right ten grams yep 're going 're going flip piece paper um,red < 10,0.23297116,<m> red = 10 </m>,2
3,And tell red cube right ten grams yep 're going 're going flip piece paper um,red != 10,0.23204678,<m> red = 10 </m>,2
4,"needle goes red line means red block , blue block 're probably equal",blue = red,0.7984475,<m> blue = red </m>,2
5,"needle goes red line means red block , blue block 're probably equal",red < blue,0.6668917,<m> blue = red </m>,2
6,"needle goes red line means red block , blue block 're probably equal",blue < red,0.63043654,<m> blue = red </m>,2
7,"needle goes red line means red block , blue block 're probably equal",blue != red,0.6205468,<m> blue = red </m>,2
8,"needle goes red line means red block , blue block 're probably equal",red > blue,0.5218051,<m> blue = red </m>,2
9,blue block one probably ten grams,blue = 10,0.6508788,<m> blue = 10 </m>,2
10,blue block one probably ten grams,blue != 10,0.04980462,<m> blue = 10 </m>,2
11,blue block one probably ten grams,blue > 10,0.04308494,<m> blue = 10 </m>,2
12,blue block one probably ten grams,blue < 10,0.040343814,<m> blue = 10 </m>,2
13,The first two ten,red = 10,0.83189213,"<m> blue = 10, red = 10 </m>",2
14,The first two ten,green = 10,0.82978755,"<m> blue = 10, red = 10 </m>",2
15,The first two ten,blue = 10,0.8198548,"<m> blue = 10, red = 10 </m>",2
16,The first two ten,yellow = 10,0.8169056,"<m> blue = 10, red = 10 </m>",2
17,The first two ten,purple = 10,0.80200446,"<m> blue = 10, red = 10 </m>",2
18,knowing oh sorry green one,green = 10,0.7010348,<m> green = 20 </m>,2
19,knowing oh sorry green one,green = 50,0.6820719,<m> green = 20 </m>,2
20,knowing oh sorry green one,green = 20,0.6551498,<m> green = 20 </m>,2
21,knowing oh sorry green one,green = 40,0.63954496,<m> green = 20 </m>,2
22,knowing oh sorry green one,green = 30,0.6252459,<m> green = 20 </m>,2
23,So twenty plus ten thirty probably,purple = 10,0.56288904,<m> purple = 30 </m>,2
24,So twenty plus ten thirty probably,yellow = 10,0.523237,<m> purple = 30 </m>,2
25,So twenty plus ten thirty probably,purple = 20,0.50230485,<m> purple = 30 </m>,2
26,So twenty plus ten thirty probably,green = 10,0.47749066,<m> purple = 30 </m>,2
27,So twenty plus ten thirty probably,purple = 30,0.4724159,<m> purple = 30 </m>,2
28,'s increment five could probably go thirty purple block,purple = 30,0.5979053,<m> purple = 30 </m>,2
29,'s increment five could probably go thirty purple block,purple < 30,0.23574972,<m> purple = 30 </m>,2
30,'s increment five could probably go thirty purple block,purple != 30,0.20238459,<m> purple = 30 </m>,2
31,'s increment five could probably go thirty purple block,purple > 30,0.1438897,<m> purple = 30 </m>,2
32,"purple block , green block 's twenty thirty","green = 30, purple = 20",0.16724132,"<m> green = 20, purple = 30 </m>",2
33,"purple block , green block 's twenty thirty","green = 20, purple = 30",0.14748597,"<m> green = 20, purple = 30 </m>",2
34,Oh twenty thirty 'll go fifty,red = 50,0.8541033,<m> yellow = 50 </m>,2
35,Oh twenty thirty 'll go fifty,purple = 50,0.8532909,<m> yellow = 50 </m>,2
36,Oh twenty thirty 'll go fifty,yellow = 50,0.8462546,<m> yellow = 50 </m>,2
37,Oh twenty thirty 'll go fifty,green = 50,0.8348585,<m> yellow = 50 </m>,2
38,Oh twenty thirty 'll go fifty,blue = 50,0.8287237,<m> yellow = 50 </m>,2
0,I tell red cube ten grams,red = 10,0.8355247,<m> red = 10 </m>,7
1,I tell red cube ten grams,red != 10,0.040713765,<m> red = 10 </m>,7
2,I tell red cube ten grams,red < 10,0.040693484,<m> red = 10 </m>,7
3,I tell red cube ten grams,red > 10,0.03975997,<m> red = 10 </m>,7
4,blue block seems ten,blue = 10,0.8128425,<m> blue = 10 </m>,7
5,blue block seems ten,blue < 10,0.05934114,<m> blue = 10 </m>,7
6,blue block seems ten,blue != 10,0.05670028,<m> blue = 10 </m>,7
7,blue block seems ten,blue > 10,0.044043675,<m> blue = 10 </m>,7
8,"red block , blue block twenty",purple = 20,0.7912557,<m> green = 20 </m>,7
9,"red block , blue block twenty",yellow = 20,0.78200483,<m> green = 20 </m>,7
10,"red block , blue block twenty",green = 20,0.7682412,<m> green = 20 </m>,7
11,"red block , blue block twenty",blue = 20,0.6034922,<m> green = 20 </m>,7
12,"red block , blue block twenty",red = 20,0.5122574,<m> green = 20 </m>,7
13,purple block 's thirty,purple = 30,0.82327354,<m> purple = 30 </m>,7
14,purple block 's thirty,purple != 30,0.055279322,<m> purple = 30 </m>,7
15,purple block 's thirty,purple < 30,0.052525025,<m> purple = 30 </m>,7
16,purple block 's thirty,purple > 30,0.045146596,<m> purple = 30 </m>,7
17,So twenty thirty,"green = 20, purple = 30",0.56986773,"<m> green = 20, purple = 30 </m>",7
18,So twenty thirty,"purple = 20, red = 30",0.5528852,"<m> green = 20, purple = 30 </m>",7
19,So twenty thirty,"blue = 20, purple = 30",0.48790002,"<m> green = 20, purple = 30 </m>",7
20,So twenty thirty,"purple = 20, yellow = 30",0.46472973,"<m> green = 20, purple = 30 </m>",7
21,So twenty thirty,"green = 20, red = 30",0.45283228,"<m> green = 20, purple = 30 </m>",7
22,Fifty I,"purple = 50, red = 50",0.66749763,<m> yellow = 50 </m>,7
23,Fifty I,"green = 50, red = 50",0.6150396,<m> yellow = 50 </m>,7
24,Fifty I,"green = 50, purple = 50",0.5999279,<m> yellow = 50 </m>,7
25,Fifty I,"blue = 50, purple = 50",0.56747246,<m> yellow = 50 </m>,7
26,Fifty I,"blue = 50, red = 50",0.5643064,<m> yellow = 50 </m>,7
27,ah yellow block 's fifty,yellow = 50,0.80528337,<m> yellow = 50 </m>,7
28,ah yellow block 's fifty,yellow < 50,0.08498086,<m> yellow = 50 </m>,7
29,ah yellow block 's fifty,yellow > 50,0.059489533,<m> yellow = 50 </m>,7
30,ah yellow block 's fifty,yellow != 50,0.056626365,<m> yellow = 50 </m>,7
31,okay yellow block 's fifty,yellow = 50,0.74083173,<m> yellow = 50 </m>,7
32,okay yellow block 's fifty,yellow < 50,0.09167686,<m> yellow = 50 </m>,7
33,okay yellow block 's fifty,yellow > 50,0.059530027,<m> yellow = 50 </m>,7
34,okay yellow block 's fifty,yellow != 50,0.056782704,<m> yellow = 50 </m>,7
0,I tell red cube ten grams,red = 10,0.87620664,<m> red = 10 </m>,6
1,I tell red cube ten grams,red != 10,0.065178245,<m> red = 10 </m>,6
2,I tell red cube ten grams,red < 10,0.06363056,<m> red = 10 </m>,6
3,I tell red cube ten grams,red > 10,0.062377043,<m> red = 10 </m>,6
4,red block red one 's ten grams,red = 10,0.86072403,<m> red = 10 </m>,6
5,red block red one 's ten grams,red > 10,0.076076664,<m> red = 10 </m>,6
6,red block red one 's ten grams,red < 10,0.07135162,<m> red = 10 </m>,6
7,red block red one 's ten grams,red != 10,0.07134253,<m> red = 10 </m>,6
8,"seems red block , blue block might",blue = red,0.88483864,<m> blue = red </m>,6
9,"seems red block , blue block might",red > blue,0.4082325,<m> blue = red </m>,6
10,"seems red block , blue block might",red < blue,0.36670312,<m> blue = red </m>,6
11,"seems red block , blue block might",blue > red,0.16368234,<m> blue = red </m>,6
12,"seems red block , blue block might","blue = 20, red = 20",0.111070395,<m> blue = red </m>,6
13,"'s stuff written bottom 's red block , green block 's ten twenty right right 's looking","green = 20, red = 10",0.12413561,"<m> green = 20, red = 10 </m>",6
14,"'s stuff written bottom 's red block , green block 's ten twenty right right 's looking","green = 10, red = 20",0.1092923,"<m> green = 20, red = 10 </m>",6
15,purple block 's twenty almost seems thirty takes past,"purple = 10, red = 30",0.7684933,<m> purple > 20 </m>,6
16,purple block 's twenty almost seems thirty takes past,"purple = 10, yellow = 30",0.7336697,<m> purple > 20 </m>,6
17,purple block 's twenty almost seems thirty takes past,"purple = 30, red = 10",0.7243513,<m> purple > 20 </m>,6
18,purple block 's twenty almost seems thirty takes past,"green = 10, purple = 30",0.6632045,<m> purple > 20 </m>,6
19,purple block 's twenty almost seems thirty takes past,"purple = 10, red = 20",0.65866077,<m> purple > 20 </m>,6
20,"red block , blue block , green block , yellow block , purple block 're increments ten purple block",purple = red,0.88656,<m> purple = 30 </m>,6
21,"red block , blue block , green block , yellow block , purple block 're increments ten purple block",red < blue + green,0.88628983,<m> purple = 30 </m>,6
22,"red block , blue block , green block , yellow block , purple block 're increments ten purple block",blue < green + red,0.88546336,<m> purple = 30 </m>,6
23,"red block , blue block , green block , yellow block , purple block 're increments ten purple block",purple > blue,0.8848231,<m> purple = 30 </m>,6
24,"red block , blue block , green block , yellow block , purple block 're increments ten purple block",red < blue + purple,0.8837212,<m> purple = 30 </m>,6
25,Fifty,purple = 50,0.7271421,<m> yellow = 50 </m>,6
26,Fifty,green = 50,0.7146919,<m> yellow = 50 </m>,6
27,Fifty,blue = 50,0.7125598,<m> yellow = 50 </m>,6
28,Fifty,red = 50,0.69545317,<m> yellow = 50 </m>,6
29,Fifty,yellow = 50,0.6841148,<m> yellow = 50 </m>,6
30,purple block 's thirty green twenty,"green = 20, purple = 30",0.550572,"<m> green = 20, purple = 30 </m>",6
31,purple block 's thirty green twenty,"green = 30, purple = 20",0.5452178,"<m> green = 20, purple = 30 </m>",6
32,red small blue ten,"blue = 10, red = 10",0.42384973,"<m> blue = 10, red = 10 </m>",6
33,"green block , purple block 's heavy",blue != purple + red + yellow,0.8919219,<m> yellow < green + purple </m>,6
34,"green block , purple block 's heavy",purple = green + red,0.89166766,<m> yellow < green + purple </m>,6
35,"green block , purple block 's heavy",blue != green + purple + red + yellow,0.89166725,<m> yellow < green + purple </m>,6
36,"green block , purple block 's heavy",purple < blue + green + red + yellow,0.8912889,<m> yellow < green + purple </m>,6
37,"green block , purple block 's heavy",yellow < blue + green + red,0.8911549,<m> yellow < green + purple </m>,6
38,would yellow forty five could fifty since 're,yellow = 50,0.8783736,<m> yellow = 50 </m>,6
39,would yellow forty five could fifty since 're,yellow = 40,0.8715728,<m> yellow = 50 </m>,6
40,would yellow forty five could fifty since 're,yellow < 50,0.51711917,<m> yellow = 50 </m>,6
41,would yellow forty five could fifty since 're,yellow < 40,0.4595875,<m> yellow = 50 </m>,6
42,would yellow forty five could fifty since 're,"purple = 10, yellow = 40",0.24160211,<m> yellow = 50 </m>,6
0,I tell red cube ten grams,red = 10,0.9387801,<m> red = 10 </m>,10
1,I tell red cube ten grams,red < 10,0.05980961,<m> red = 10 </m>,10
2,I tell red cube ten grams,red > 10,0.059742898,<m> red = 10 </m>,10
3,I tell red cube ten grams,red != 10,0.058439627,<m> red = 10 </m>,10
4,"green block twenty red block , blue block ten ten","blue = 10, green = 20, red = 10",0.46473688,"<m> blue = 10, green = 20, red = 10 </m>",10
5,"green block twenty red block , blue block ten ten","blue = 10, green = 10, red = 20",0.3974359,"<m> blue = 10, green = 20, red = 10 </m>",10
6,"green block twenty red block , blue block ten ten","blue = 20, green = 10, red = 10",0.37647516,"<m> blue = 10, green = 20, red = 10 </m>",10
7,"green block twenty red block , blue block ten ten","blue = 20, green = 20, red = 10",0.2550636,"<m> blue = 10, green = 20, red = 10 </m>",10
8,"green block twenty red block , blue block ten ten","blue = 10, green = 20, red = 20",0.19002393,"<m> blue = 10, green = 20, red = 10 </m>",10
9,"looks red block , blue block 're fairly equal",blue = red,0.9435479,<m> blue = red </m>,10
10,"looks red block , blue block 're fairly equal",blue > red,0.8676257,<m> blue = red </m>,10
11,"looks red block , blue block 're fairly equal",red > blue,0.7225045,<m> blue = red </m>,10
12,"looks red block , blue block 're fairly equal",blue != red,0.67264175,<m> blue = red </m>,10
13,"looks red block , blue block 're fairly equal","blue = 10, red = 10",0.3574779,<m> blue = red </m>,10
14,"right green block 's twenty red block , blue block two ten","blue = 10, green = 20, red = 10",0.08781549,"<m> blue = 10, green = 20, red = 10 </m>",10
15,"right green block 's twenty red block , blue block two ten","blue = 10, green = 10, red = 20",0.0789618,"<m> blue = 10, green = 20, red = 10 </m>",10
16,"right green block 's twenty red block , blue block two ten","blue = 20, green = 10, red = 10",0.064898275,"<m> blue = 10, green = 20, red = 10 </m>",10
17,"right green block 's twenty red block , blue block two ten","blue = 10, green = 20, red = 20",0.031595647,"<m> blue = 10, green = 20, red = 10 </m>",10
18,"right green block 's twenty red block , blue block two ten","blue = 20, green = 10, red = 20",0.027892176,"<m> blue = 10, green = 20, red = 10 </m>",10
19,"red block , blue block 're together",blue = red,0.93463886,<m> blue = red </m>,10
20,"red block , blue block 're together",blue > red,0.34165955,<m> blue = red </m>,10
21,"red block , blue block 're together",red > blue,0.2080579,<m> blue = red </m>,10
22,"red block , blue block 're together",blue != red,0.11790504,<m> blue = red </m>,10
23,"red block , blue block 're together",blue < red,0.10683499,<m> blue = red </m>,10
24,"alright let 's green block , purple block two already tell purple block one 's heavier",green = purple,0.94521,<m> purple > green </m>,10
25,"alright let 's green block , purple block two already tell purple block one 's heavier",purple > green,0.9291799,<m> purple > green </m>,10
26,"alright let 's green block , purple block two already tell purple block one 's heavier",green > purple,0.9269154,<m> purple > green </m>,10
27,"alright let 's green block , purple block two already tell purple block one 's heavier",green != purple,0.8435024,<m> purple > green </m>,10
28,"alright let 's green block , purple block two already tell purple block one 's heavier",green < purple,0.54367465,<m> purple > green </m>,10
29,"green block , red block , purple block equal green block , red block , purple block instructions suppose",red > green + purple,0.9477278,<m> purple = green + red </m>,10
30,"green block , red block , purple block equal green block , red block , purple block instructions suppose",red != green + purple,0.9470861,<m> purple = green + red </m>,10
31,"green block , red block , purple block equal green block , red block , purple block instructions suppose",purple > green + red,0.94671863,<m> purple = green + red </m>,10
32,"green block , red block , purple block equal green block , red block , purple block instructions suppose",red < green + purple,0.9462755,<m> purple = green + red </m>,10
33,"green block , red block , purple block equal green block , red block , purple block instructions suppose",green != purple + red,0.94610953,<m> purple = green + red </m>,10
34,"'m guessing 's little bit left little bit left touches red line left hand side left line red red block , blue block , green block 's gon na heavier equal almost almost equal wait green block one 's twenty n't",yellow > blue + green + purple + red,0.946714,<m> purple > green + red </m>,10
35,"'m guessing 's little bit left little bit left touches red line left hand side left line red red block , blue block , green block 's gon na heavier equal almost almost equal wait green block one 's twenty n't",purple > blue + green + red + yellow,0.94670105,<m> purple > green + red </m>,10
36,"'m guessing 's little bit left little bit left touches red line left hand side left line red red block , blue block , green block 's gon na heavier equal almost almost equal wait green block one 's twenty n't",purple < blue + green + red + yellow,0.94670105,<m> purple > green + red </m>,10
37,"'m guessing 's little bit left little bit left touches red line left hand side left line red red block , blue block , green block 's gon na heavier equal almost almost equal wait green block one 's twenty n't",green < blue + purple + red + yellow,0.946612,<m> purple > green + red </m>,10
38,"'m guessing 's little bit left little bit left touches red line left hand side left line red red block , blue block , green block 's gon na heavier equal almost almost equal wait green block one 's twenty n't",red > blue + green + purple,0.9464844,<m> purple > green + red </m>,10
39,moved green block checked two tens remember n't green block one okay sure sure sure put thirty thirty,red = 30,0.9477314,<m> purple = 30 </m>,10
40,moved green block checked two tens remember n't green block one okay sure sure sure put thirty thirty,purple = 30,0.94760996,<m> purple = 30 </m>,10
41,moved green block checked two tens remember n't green block one okay sure sure sure put thirty thirty,blue = 30,0.9474305,<m> purple = 30 </m>,10
42,moved green block checked two tens remember n't green block one okay sure sure sure put thirty thirty,red = 10,0.94661605,<m> purple = 30 </m>,10
43,moved green block checked two tens remember n't green block one okay sure sure sure put thirty thirty,green = 30,0.94646597,<m> purple = 30 </m>,10
44,purple block one 's thirty 's green block one twenty right twenty okay yellow block one 's gon na fifty okay,"green = 30, purple = 20, yellow = 50",0.41517955,"<m> green = 20, purple = 30, yellow = 50 </m>",10
45,purple block one 's thirty 's green block one twenty right twenty okay yellow block one 's gon na fifty okay,"green = 20, purple = 30, yellow = 50",0.3831644,"<m> green = 20, purple = 30, yellow = 50 </m>",10
46,purple block one 's thirty 's green block one twenty right twenty okay yellow block one 's gon na fifty okay,"green = 20, purple = 50, yellow = 30",0.2941993,"<m> green = 20, purple = 30, yellow = 50 </m>",10
47,purple block one 's thirty 's green block one twenty right twenty okay yellow block one 's gon na fifty okay,"green = 30, purple = 50, yellow = 20",0.27953047,"<m> green = 20, purple = 30, yellow = 50 </m>",10
