Transcript,Ground truth,Correct,Top 1 prop,Top 1 cosim,Top 2 prop,Top 2 cosim,Top 3 prop,Top 3 cosim,Top 4 prop,Top 4 cosim,Top 5 prop,Top 5 cosim,Top 6 prop,Top 6 cosim,Top 7 prop,Top 7 cosim,Top 8 prop,Top 8 cosim,Top 9 prop,Top 9 cosim,Top 10 prop,Top 10 cosim
ah yellow block 's fifty,yellow = 50,1,yellow = 50,0.8531068,yellow = 50,0.8531068,yellow = 50,0.8531068,yellow = 50,0.8531068,yellow = 50,0.8531068,yellow = 50,0.8531068,yellow = 50,0.8531068,yellow = 50,0.8531068,yellow = 50,0.8531068,yellow = 50,0.8531068
"alright let 's green block , purple block two already tell purple block one 's heavier",purple > green,10,green = purple,0.94521,purple < green,0.9431453,purple < green,0.9431453,green < purple,0.9430619,green < purple,0.9430619,green != purple,0.93531895,green != purple,0.93531895,green > purple,0.931435,green > purple,0.931435,purple > green,0.9310343
alright reese fill survey end red block ten grams,red = 10,1,red = 10,0.84052145,red = 10,0.79960203,red = 10,0.79960203,red = 10,0.79960203,red = 10,0.79960203,red = 10,0.79960203,red = 10,0.79960203,red = 10,0.79960203,red = 10,0.79960203,red = 10,0.79960203
blue block also ten,blue = 10,1,blue = 10,0.9460753,blue = 10,0.85962677,blue = 10,0.85962677,blue = 10,0.85962677,blue = 10,0.85962677,blue = 10,0.85962677,blue = 10,0.85962677,blue = 10,0.85962677,blue = 10,0.85962677,blue = 10,0.85962677
blue block one probably ten grams,blue = 10,1,blue = 10,0.6508788,blue = 10,0.6383556,blue = 10,0.6383556,blue = 10,0.6383556,blue = 10,0.6383556,blue = 10,0.6383556,blue = 10,0.6383556,blue = 10,0.6383556,blue = 10,0.6383556,blue = 10,0.6383556
blue block seems ten,blue = 10,1,blue = 10,0.86411536,blue = 10,0.86411536,blue = 10,0.86411536,blue = 10,0.86411536,blue = 10,0.86411536,blue = 10,0.86411536,blue = 10,0.86411536,blue = 10,0.86411536,blue = 10,0.86411536,blue = 10,0.86411536
"blue dark blue one thirty purple block 's larger one purple block , red block , blue block 's slightly heavier",yellow > blue + purple + red,0,blue < green + purple + yellow,0.9695277,green < blue + red + yellow,0.9695164,green < blue + purple + yellow,0.9695109,blue < green + purple + red,0.9695052,purple < blue + green + yellow,0.96947455,purple < blue,0.8738036,purple < blue,0.8738036,purple < blue,0.8738036,purple < blue,0.8738036,purple < blue,0.8738036
blue ten,blue = 10,1,blue = 10,0.7031082,blue = 10,0.7031082,blue = 10,0.7031082,blue = 10,0.7031082,blue = 10,0.7031082,blue = 10,0.7031082,blue = 10,0.7031082,blue = 10,0.7031082,blue = 10,0.7031082,blue = 10,0.7031082
"easy green block twenty cause red block ten long 's dropping red block , blue block 's",green = 20,0,red = blue + green,0.8743346,red = blue + green,0.8743346,red = blue + green,0.8743346,red = blue + green,0.8743346,red = blue + green,0.8743346,red = blue + green,0.8743346,red = blue + green,0.8743346,red = blue + green,0.8743346,red = blue + green,0.8743346,red = blue + green,0.8743346
"ever slightly though green block , purple block , yellow block 's probably probably green block , purple block , yellow block 's equal",yellow = green + purple,0,purple != green + yellow,0.9018506,green > purple + yellow,0.9018421,green != purple + yellow,0.9014853,purple > green + yellow,0.9006636,yellow > green + purple,0.8998972,purple < green + yellow,0.7580922,purple < green + yellow,0.7580922,purple < green + yellow,0.7580922,purple < green + yellow,0.7580922,purple < green + yellow,0.7580922
feel yellow fifty,yellow = 50,1,yellow = 50,0.88753444,yellow = 50,0.811127,yellow = 50,0.811127,yellow = 50,0.811127,yellow = 50,0.811127,yellow = 50,0.811127,yellow = 50,0.811127,yellow = 50,0.811127,yellow = 50,0.811127,yellow = 50,0.811127
fifty yellow fifty,yellow = 50,1,yellow = 50,0.9504411,yellow < 50,0.89868736,yellow = 50,0.8358917,yellow = 50,0.8358917,yellow = 50,0.8358917,yellow = 50,0.8358917,yellow = 50,0.8358917,yellow = 50,0.8358917,yellow = 50,0.8358917,yellow = 50,0.8358917
"green block , blue block twenty ten right","blue = 10, green = 20",15,"blue = 20, green = 10",0.42117175,"blue = 20, green = 10",0.42117175,"blue = 20, green = 10",0.42117175,"blue = 20, green = 10",0.42117175,"blue = 20, green = 10",0.42117175,"blue = 20, green = 10",0.42117175,"blue = 20, green = 10",0.42117175,"blue = 20, green = 10",0.42117175,"blue = 20, green = 10",0.42117175,"blue = 20, green = 10",0.42117175
"green block , purple block 's heavy",yellow < green + purple,0,blue = green + purple + red,0.9155716,blue = green + purple + red,0.9155716,blue = green + purple + red,0.9155716,blue = green + purple + red,0.9155716,blue = green + purple + red,0.9155716,blue = green + purple + red,0.9155716,blue = green + purple + red,0.9155716,blue = green + purple + red,0.9155716,blue = green + purple + red,0.9155716,blue = green + purple + red,0.9155716
"green block , red block , purple block equal green block , red block , purple block instructions suppose",purple = green + red,0,red > green + purple,0.9477278,red != green + purple,0.9470861,purple > green + red,0.94671863,red < green + purple,0.9462755,green != purple + red,0.94610953,purple < green + red,0.9005006,purple < green + red,0.9005006,green < purple + red,0.8972572,green < purple + red,0.8972572,purple < green + red,0.8867508
green block one 's twenty,green = 20,1,green = 20,0.9078014,green = 20,0.9078014,green = 20,0.9078014,green = 20,0.9078014,green = 20,0.9078014,green = 20,0.9078014,green = 20,0.9078014,green = 20,0.9078014,green = 20,0.9078014,green = 20,0.9078014
green block one probably twenty ten ten twenty,"blue = 10, green = 20, red = 10",0,green = 20,0.96352434,green = 20,0.96352434,green = 10,0.96305436,green = 10,0.96305436,green < 20,0.8967402,green < 20,0.8967402,green = 20,0.85445,green = 20,0.85445,green = 20,0.85445,green = 20,0.85445
"green block twenty red block , blue block ten ten","blue = 10, green = 20, red = 10",1,"blue = 10, green = 20, red = 10",0.52567303,"blue = 10, green = 20, red = 10",0.52567303,"blue = 20, green = 10, red = 10",0.4700694,"blue = 20, green = 10, red = 10",0.4700694,"blue = 10, green = 20, red = 10",0.46473688,"blue = 10, green = 10, red = 20",0.40710294,"blue = 10, green = 10, red = 20",0.40710294,"blue = 10, green = 10, red = 20",0.3974359,"blue = 20, green = 10, red = 10",0.37647516,"blue = 10, green = 20, red = 20",0.35752738
green twenty,green = 20,1,green = 20,0.8699702,green = 20,0.84524786,green = 20,0.84524786,green = 20,0.84524786,green = 20,0.84524786,green = 20,0.84524786,green = 20,0.84524786,green = 20,0.84524786,green = 20,0.84524786,green = 20,0.84524786
green twenty let 's see use hands,green = 20,1,green = 20,0.9065232,green = 20,0.9065232,green = 20,0.9065232,green = 20,0.9065232,green = 20,0.9065232,green = 20,0.9065232,green = 20,0.9065232,green = 20,0.9065232,green = 20,0.9065232,green = 20,0.9065232
green twenty purple thirty yellow block weighs fifty,"green = 20, purple = 30, yellow = 50",15,"green = 30, purple = 20, yellow = 50",0.10630556,"green = 30, purple = 20, yellow = 50",0.10630556,"green = 30, purple = 20, yellow = 50",0.10630556,"green = 30, purple = 20, yellow = 50",0.10630556,"green = 30, purple = 20, yellow = 50",0.10630556,"green = 30, purple = 20, yellow = 50",0.10630556,"green = 30, purple = 20, yellow = 50",0.10630556,"green = 30, purple = 20, yellow = 50",0.10630556,"green = 30, purple = 20, yellow = 50",0.10630556,"green = 30, purple = 20, yellow = 50",0.10630556
"im thinking red block , blue block , green block , yellow block , purple block 's ten ten twenty thirty","blue = 10, green = 20, purple = 30, red = 10",0,purple = 20,0.9654892,purple = 30,0.964892,purple = 10,0.96476054,red = 20,0.96466005,red = 10,0.96338665,red = 10,0.8487,red = 10,0.8487,red = 10,0.8487,red = 10,0.8487,red = 10,0.8487
knowing oh sorry green one,green = 20,29,green = 40,0.7544688,green = 40,0.7544688,green = 40,0.7544688,green = 40,0.7544688,green = 40,0.7544688,green = 40,0.7544688,green = 40,0.7544688,green = 40,0.7544688,green = 40,0.7544688,green = 40,0.7544688
let 's go thirty purple block 's thirty,purple = 30,1,purple = 30,0.85653996,purple = 30,0.85653996,purple = 30,0.85653996,purple = 30,0.85653996,purple = 30,0.85653996,purple = 30,0.85653996,purple = 30,0.85653996,purple = 30,0.85653996,purple = 30,0.85653996,purple = 30,0.85653996
"looks red block , blue block 're fairly equal",blue = red,1,blue = red,0.9435479,blue = red,0.94274306,blue = red,0.94274306,blue > red,0.93720484,blue > red,0.93720484,blue = red,0.9165818,blue = red,0.9165818,blue = red,0.9165818,blue = red,0.9165818,blue = red,0.9165818
mentioned green twenty,green = 20,1,green = 20,0.8570771,green = 20,0.66797614,green = 20,0.66797614,green = 20,0.66797614,green = 20,0.66797614,green = 20,0.66797614,green = 20,0.66797614,green = 20,0.66797614,green = 20,0.66797614,green = 20,0.66797614
minus one yellow block forty nine,yellow = 50,0,green = blue + yellow,0.9157998,green = blue + yellow,0.9157998,green = blue + yellow,0.9157998,green = blue + yellow,0.9157998,green = blue + yellow,0.9157998,green = blue + yellow,0.9157998,green = blue + yellow,0.9157998,green = blue + yellow,0.9157998,green = blue + yellow,0.9157998,green = blue + yellow,0.9157998
moved green block checked two tens remember n't green block one okay sure sure sure put thirty thirty,purple = 30,2,red = 30,0.9477314,purple = 30,0.94760996,blue = 30,0.9474305,red = 10,0.94661605,green = 30,0.94646597,blue = 10,0.92248374,blue = 10,0.92248374,red = 10,0.9216781,red = 10,0.9216781,red = 30,0.9208546
n't drop completely consider purple block thirty ’ drop,purple != 40,0,green != purple + red + yellow,0.8719199,green != purple + red + yellow,0.8719199,green != purple + red + yellow,0.8719199,green != purple + red + yellow,0.8719199,green != purple + red + yellow,0.8719199,green != purple + red + yellow,0.8719199,green != purple + red + yellow,0.8719199,green != purple + red + yellow,0.8719199,green != purple + red + yellow,0.8719199,green != purple + red + yellow,0.8719199
"needle goes red line means red block , blue block 're probably equal",blue = red,1,blue = red,0.7984475,blue = red,0.7736693,blue = red,0.7736693,blue = red,0.7736693,blue = red,0.7736693,blue = red,0.7736693,blue = red,0.7736693,blue = red,0.7736693,blue = red,0.7736693,blue = red,0.7736693
oh yellow block 's forty,yellow > 40,45,yellow = 40,0.8766153,yellow = 40,0.8766153,yellow = 40,0.8766153,yellow = 40,0.8766153,yellow = 40,0.8766153,yellow = 40,0.8766153,yellow = 40,0.8766153,yellow = 40,0.8766153,yellow = 40,0.8766153,yellow = 40,0.8766153
oh yellow block fifty grams,yellow = 50,1,yellow = 50,0.92611015,yellow = 50,0.92611015,yellow = 50,0.923468,yellow = 50,0.9185572,yellow = 50,0.9185572,yellow = 50,0.9185572,yellow = 50,0.9185572,yellow = 50,0.9185572,yellow = 50,0.9185572,yellow = 50,0.9185572
okay yellow block 's fifty,yellow = 50,1,yellow = 50,0.8436401,yellow = 50,0.8436401,yellow = 50,0.8436401,yellow = 50,0.8436401,yellow = 50,0.8436401,yellow = 50,0.8436401,yellow = 50,0.8436401,yellow = 50,0.8436401,yellow = 50,0.8436401,yellow = 50,0.8436401
purple block 's heavier greather twenty,purple > 20,46,purple = 20,0.8627668,purple = 20,0.8033943,purple = 20,0.8033943,purple = 20,0.8033943,purple = 20,0.8033943,purple = 20,0.8033943,purple = 20,0.8033943,purple = 20,0.8033943,purple = 20,0.8033943,purple = 20,0.8033943
purple block 's purple block 's twenty purple block 's got ta thirty,purple = 30,1,purple = 30,0.8667783,purple = 30,0.8667783,purple = 20,0.8649323,purple = 20,0.8649323,purple = 30,0.85565174,purple = 30,0.85565174,purple = 30,0.85565174,purple = 30,0.85565174,purple = 30,0.85565174,purple = 30,0.85565174
purple block 's thirty,purple = 30,1,purple = 30,0.84290516,purple = 30,0.84290516,purple = 30,0.84290516,purple = 30,0.84290516,purple = 30,0.84290516,purple = 30,0.84290516,purple = 30,0.84290516,purple = 30,0.84290516,purple = 30,0.84290516,purple = 30,0.84290516
purple block 's thirty green twenty,"green = 20, purple = 30",15,"green = 30, purple = 20",0.9103503,"green = 30, purple = 20",0.9103503,"green = 30, purple = 20",0.9103503,"green = 30, purple = 20",0.9103503,"green = 30, purple = 20",0.9103503,"green = 30, purple = 20",0.9103503,"green = 30, purple = 20",0.9103503,"green = 30, purple = 20",0.9103503,"green = 30, purple = 20",0.9103503,"green = 30, purple = 20",0.9103503
purple block 's twenty almost seems thirty takes past,purple > 20,0,purple = 20,0.7781276,purple = 20,0.7781276,purple = 20,0.7781276,purple = 20,0.7781276,purple = 20,0.7781276,purple = 20,0.7781276,purple = 20,0.7781276,purple = 20,0.7781276,purple = 20,0.7781276,purple = 20,0.7781276
"purple block , blue block forty right",purple + blue = 40,0,green = 40,0.90610814,green = 40,0.90610814,green = 40,0.90610814,green = 40,0.90610814,green = 40,0.90610814,green = 40,0.90610814,green = 40,0.90610814,green = 40,0.90610814,green = 40,0.90610814,green = 40,0.90610814
"purple block , green block 's considerably heavier purple block one purple block thirty",yellow < 50,0,purple = 30,0.9081539,purple = 30,0.9081539,purple = 30,0.9081539,purple = 30,0.9081539,purple = 30,0.9081539,purple = 30,0.9081539,purple = 30,0.9081539,purple = 30,0.9081539,purple = 30,0.9081539,purple = 30,0.9081539
"purple block , green block 's twenty thirty","green = 20, purple = 30",1,"green = 20, purple = 30",0.35818225,"green = 20, purple = 30",0.35818225,"green = 20, purple = 30",0.35818225,"green = 20, purple = 30",0.35818225,"green = 20, purple = 30",0.35818225,"green = 20, purple = 30",0.35818225,"green = 20, purple = 30",0.35818225,"green = 20, purple = 30",0.35818225,"green = 20, purple = 30",0.35818225,"green = 20, purple = 30",0.35818225
"purple block , green block fifty",purple + green = 50,0,blue = 50,0.8972143,blue = 50,0.8972143,blue = 50,0.8972143,blue = 50,0.8972143,blue = 50,0.8972143,blue = 50,0.8972143,blue = 50,0.8972143,blue = 50,0.8972143,blue = 50,0.8972143,blue = 50,0.8972143
"purple block , green block looks almost little bit heavier 's close enough fifty option definitely let 's put sixty",yellow = 50,29,green = 50,0.9207084,green = 50,0.9207084,green = 50,0.9207084,green = 50,0.9207084,green = 50,0.9207084,green = 50,0.9207084,green = 50,0.9207084,green = 50,0.9207084,green = 50,0.9207084,green = 50,0.9207084
purple block heavier green block one green block twenty purple block heavier green block one,purple > green,0,green = 30,0.95150244,green = 30,0.95150244,green = 30,0.95150244,green = 30,0.95150244,green = 30,0.95150244,green = 30,0.95150244,green = 30,0.95150244,green = 30,0.95150244,green = 30,0.95150244,green = 30,0.95150244
purple block one 's thirty 's green block one twenty right twenty okay yellow block one 's gon na fifty okay,"green = 20, purple = 30, yellow = 50",2,"green = 30, purple = 20, yellow = 50",0.41517955,"green = 20, purple = 30, yellow = 50",0.3831644,"green = 20, purple = 50, yellow = 30",0.2941993,"green = 30, purple = 50, yellow = 20",0.27953047,"green = 50, purple = 20, yellow = 30",0.22912529,"green = 30, purple = 20, yellow = 50",0.21774572,"green = 30, purple = 20, yellow = 50",0.21774572,"green = 20, purple = 30, yellow = 50",0.16818604,"green = 20, purple = 30, yellow = 50",0.16818604,"green = 30, purple = 50, yellow = 20",0.13956717
purple block one thirty yellow block fifty less,"purple = 30, yellow = 50",1,"purple = 30, yellow = 50",0.33945096,"purple = 50, yellow = 30",0.31558585,"purple = 30, yellow = 50",0.27998275,"purple = 30, yellow = 50",0.27998275,"purple = 30, yellow = 50",0.27998275,"purple = 30, yellow = 50",0.27998275,"purple = 30, yellow = 50",0.27998275,"purple = 30, yellow = 50",0.27998275,"purple = 30, yellow = 50",0.27998275,"purple = 30, yellow = 50",0.27998275
"purple block thirty right red block ten purple block , red block would forty yellow block 's forty less sixty yellow block 's got ta fifty",yellow = 50,71,purple = 40,0.89425886,purple = 40,0.89425886,purple = 40,0.89425886,purple = 40,0.89425886,purple = 40,0.89425886,purple = 40,0.89425886,purple = 40,0.89425886,purple = 40,0.89425886,purple = 40,0.89425886,purple = 40,0.89425886
"purple block thirty right thirty green block twenty red block , blue block tens","blue = 10, green = 20, purple = 30, red = 10",4,"blue = 20, green = 10, purple = 30, red = 10",0.2730163,"blue = 20, green = 30, purple = 10, red = 10",0.26587412,"blue = 20, green = 30, purple = 10, red = 30",0.25208077,"blue = 10, green = 20, purple = 30, red = 10",0.25044456,"blue = 20, green = 10, purple = 30, red = 30",0.24352652,"blue = 20, green = 30, purple = 10, red = 10",0.16018786,"blue = 20, green = 30, purple = 10, red = 10",0.16018786,"blue = 20, green = 30, purple = 10, red = 30",0.12269211,"blue = 20, green = 30, purple = 10, red = 30",0.12269211,"blue = 30, green = 20, purple = 10, red = 10",0.11812004
purple one thirty,purple = 30,1,purple = 30,0.7621826,purple = 30,0.7621826,purple = 30,0.7621826,purple = 30,0.7621826,purple = 30,0.7621826,purple = 30,0.7621826,purple = 30,0.7621826,purple = 30,0.7621826,purple = 30,0.7621826,purple = 30,0.7621826
"red block , blue block 're together",blue = red,1,blue = red,0.94100744,blue = red,0.94100744,blue = red,0.93463886,blue = red,0.914577,blue = red,0.914577,blue = red,0.914577,blue = red,0.914577,blue = red,0.914577,blue = red,0.914577,blue = red,0.914577
"red block , blue block 're weight",blue = red,1,blue = red,0.9111885,blue = red,0.86570334,blue = red,0.86570334,blue = red,0.86570334,blue = red,0.86570334,blue = red,0.86570334,blue = red,0.86570334,blue = red,0.86570334,blue = red,0.86570334,blue = red,0.86570334
"red block , blue block , green block 's forty",green + red + blue = 40,0,green = 40,0.8736452,green = 40,0.8736452,green = 40,0.8736452,green = 40,0.8736452,green = 40,0.8736452,green = 40,0.8736452,green = 40,0.8736452,green = 40,0.8736452,green = 40,0.8736452,green = 40,0.8736452
"red block , blue block , green block 's probably equal",green = blue + red,0,blue < green + red,0.8985579,green != blue + red,0.8980801,green < blue + red,0.8980615,blue > green + red,0.89701754,blue != green + red,0.8967991,blue != green + red,0.8815762,blue != green + red,0.8815762,blue != green + red,0.8815762,blue != green + red,0.8815762,blue != green + red,0.8815762
"red block , blue block , green block , yellow block , purple block 're increments ten purple block",purple = 30,0,red = blue + green + purple,0.91508627,red = blue + green + purple,0.91508627,red = blue + green + purple,0.91508627,red = blue + green + purple,0.91508627,red = blue + green + purple,0.91508627,red = blue + green + purple,0.91508627,red = blue + green + purple,0.91508627,red = blue + green + purple,0.91508627,red = blue + green + purple,0.91508627,red = blue + green + purple,0.91508627
"red block , blue block seems pretty balanced",blue = red,1,blue = red,0.96802616,blue > red,0.9580479,red > blue,0.94972956,red < blue,0.89707047,blue < red,0.8850763,blue > red,0.86754215,blue > red,0.86754215,blue > red,0.86754215,blue > red,0.86754215,blue > red,0.86754215
"red block , blue block ten theory ten ten twenty","blue = 10, green = 20, red = 10",0,blue = green + purple + red + yellow,0.9404113,blue = green + purple + red + yellow,0.9404113,blue = green + purple + red + yellow,0.9404113,blue = green + purple + red + yellow,0.9404113,blue = green + purple + red + yellow,0.9404113,blue = green + purple + red + yellow,0.9404113,blue = green + purple + red + yellow,0.9404113,blue = green + purple + red + yellow,0.9404113,blue = green + purple + red + yellow,0.9404113,blue = green + purple + red + yellow,0.9404113
"red block , blue block twenty",green = 20,1,green = 20,0.86832476,green = 20,0.86832476,green = 20,0.86832476,green = 20,0.86832476,green = 20,0.86832476,green = 20,0.86832476,green = 20,0.86832476,green = 20,0.86832476,green = 20,0.86832476,green = 20,0.86832476
red block red one 's ten grams,red = 10,1,red = 10,0.90223867,red = 10,0.90223867,red = 10,0.90223867,red = 10,0.90223867,red = 10,0.90223867,red = 10,0.90223867,red = 10,0.90223867,red = 10,0.90223867,red = 10,0.90223867,red = 10,0.90223867
