,transcript,common_ground,actual_common_ground
231,yellow block fifty,yellow = 40,"purple = 30, yellow = 50"
249,And see 's thats twenty,yellow = 20,purple != 20
250,And see 's thats twenty,blue = 20,purple != 20
251,And see 's thats twenty,green = 20,purple != 20
252,And see 's thats twenty,purple = 20,purple != 20
253,And see 's thats twenty,red = 20,purple != 20
259,green block one probably twenty ten ten twenty,green = 10,"blue = 10, green = 20, red = 10"
260,green block one probably twenty ten ten twenty,green = 20,"blue = 10, green = 20, red = 10"
261,green block one probably twenty ten ten twenty,"green = 10, red = 20","blue = 10, green = 20, red = 10"
262,green block one probably twenty ten ten twenty,"green = 20, yellow = 50","blue = 10, green = 20, red = 10"
263,green block one probably twenty ten ten twenty,"green = 20, red = 20","blue = 10, green = 20, red = 10"
274,"blue dark blue one thirty purple block 's larger one purple block , red block , blue block 's slightly heavier",blue = yellow,yellow > blue + purple + red
275,"blue dark blue one thirty purple block 's larger one purple block , red block , blue block 's slightly heavier",green = purple,yellow > blue + purple + red
276,"blue dark blue one thirty purple block 's larger one purple block , red block , blue block 's slightly heavier",blue = green,yellow > blue + purple + red
277,"blue dark blue one thirty purple block 's larger one purple block , red block , blue block 's slightly heavier",blue = red,yellow > blue + purple + red
278,"blue dark blue one thirty purple block 's larger one purple block , red block , blue block 's slightly heavier",blue = purple,yellow > blue + purple + red
279,"im thinking red block , blue block , green block , yellow block , purple block 's ten ten twenty thirty",green = 10,"blue = 10, green = 20, purple = 30, red = 10"
280,"im thinking red block , blue block , green block , yellow block , purple block 's ten ten twenty thirty",green = 20,"blue = 10, green = 20, purple = 30, red = 10"
281,"im thinking red block , blue block , green block , yellow block , purple block 's ten ten twenty thirty",blue = 10,"blue = 10, green = 20, purple = 30, red = 10"
282,"im thinking red block , blue block , green block , yellow block , purple block 's ten ten twenty thirty",green = 30,"blue = 10, green = 20, purple = 30, red = 10"
283,"im thinking red block , blue block , green block , yellow block , purple block 's ten ten twenty thirty",blue = 20,"blue = 10, green = 20, purple = 30, red = 10"
284,"thirty fourty fifty correct purple block , green block 's still heavier yellow block thing",purple = red,yellow < 50
285,"thirty fourty fifty correct purple block , green block 's still heavier yellow block thing",purple = yellow,yellow < 50
286,"thirty fourty fifty correct purple block , green block 's still heavier yellow block thing",blue = green,yellow < 50
287,"thirty fourty fifty correct purple block , green block 's still heavier yellow block thing",green = purple,yellow < 50
288,"thirty fourty fifty correct purple block , green block 's still heavier yellow block thing",blue = purple,yellow < 50
892,The first two ten,green = 10,"blue = 10, red = 10"
893,The first two ten,red = 10,"blue = 10, red = 10"
894,The first two ten,blue = 10,"blue = 10, red = 10"
895,The first two ten,yellow = 10,"blue = 10, red = 10"
896,The first two ten,purple = 10,"blue = 10, red = 10"
902,So twenty plus ten thirty probably,green = 10,purple = 30
903,So twenty plus ten thirty probably,blue = 10,purple = 30
904,So twenty plus ten thirty probably,green = 20,purple = 30
905,So twenty plus ten thirty probably,green = 30,purple = 30
906,So twenty plus ten thirty probably,blue = 30,purple = 30
927,"easy green block twenty cause red block ten long 's dropping red block , blue block 's",purple = red,green = 20
928,"easy green block twenty cause red block ten long 's dropping red block , blue block 's",green = purple,green = 20
929,"easy green block twenty cause red block ten long 's dropping red block , blue block 's",blue = red,green = 20
930,"easy green block twenty cause red block ten long 's dropping red block , blue block 's",green = red,green = 20
931,"easy green block twenty cause red block ten long 's dropping red block , blue block 's",blue = purple,green = 20
932,n't drop completely consider purple block thirty ’ drop,purple = 30,purple != 40
933,n't drop completely consider purple block thirty ’ drop,purple > 30,purple != 40
934,n't drop completely consider purple block thirty ’ drop,purple < 30,purple != 40
935,n't drop completely consider purple block thirty ’ drop,purple != 30,purple != 40
936,n't drop completely consider purple block thirty ’ drop,purple = red,purple != 40
937,n't drop completely consider purple block thirty ’ drop,green = purple,purple != 40
938,n't drop completely consider purple block thirty ’ drop,blue = purple,purple != 40
939,n't drop completely consider purple block thirty ’ drop,purple = yellow,purple != 40
940,n't drop completely consider purple block thirty ’ drop,purple = green + red,purple != 40
951,yellow red blue 's 's,red = 10,yellow = 50
952,yellow red blue 's 's,red = yellow,yellow = 50
953,yellow red blue 's 's,yellow = 10,yellow = 50
954,yellow red blue 's 's,red = 20,yellow = 50
955,yellow red blue 's 's,yellow = 20,yellow = 50
998,"'m guessing 's little bit left little bit left touches red line left hand side left line red red block , blue block , green block 's gon na heavier equal almost almost equal wait green block one 's twenty n't",yellow = purple + red,purple > green + red
999,"'m guessing 's little bit left little bit left touches red line left hand side left line red red block , blue block , green block 's gon na heavier equal almost almost equal wait green block one 's twenty n't",green = purple + yellow,purple > green + red
1000,"'m guessing 's little bit left little bit left touches red line left hand side left line red red block , blue block , green block 's gon na heavier equal almost almost equal wait green block one 's twenty n't",blue = purple,purple > green + red
1001,"'m guessing 's little bit left little bit left touches red line left hand side left line red red block , blue block , green block 's gon na heavier equal almost almost equal wait green block one 's twenty n't",red = purple + yellow,purple > green + red
1002,"'m guessing 's little bit left little bit left touches red line left hand side left line red red block , blue block , green block 's gon na heavier equal almost almost equal wait green block one 's twenty n't",green = purple + red,purple > green + red
