Unnamed: 0,transcript,common_ground,scores,actual_common_ground,Group,Unnamed: 0.1,true label,predicted label,Transcript,Ground truth,Correct,Top 1 prop,Top 1 cosim,Top 2 prop,Top 2 cosim,Top 3 prop,Top 3 cosim,Top 4 prop,Top 4 cosim,Top 5 prop,Top 5 cosim,Top 6 prop,Top 6 cosim,Top 7 prop,Top 7 cosim,Top 8 prop,Top 8 cosim,Top 9 prop,Top 9 cosim,Top 10 prop,Top 10 cosim
26.0,"ever slightly though green block , purple block , yellow block 's probably probably green block , purple block , yellow block 's equal",yellow < green + purple,0.8332112,<m> yellow = green + purple </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,"ever slightly though green block , purple block , yellow block 's probably probably green block , purple block , yellow block 's equal",purple < green + yellow,0.8156763,<m> yellow = green + purple </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,"ever slightly though green block , purple block , yellow block 's probably probably green block , purple block , yellow block 's equal",yellow = green + purple,0.81451565,<m> yellow = green + purple </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,"ever slightly though green block , purple block , yellow block 's probably probably green block , purple block , yellow block 's equal",green = purple + yellow,0.81048244,<m> yellow = green + purple </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,"ever slightly though green block , purple block , yellow block 's probably probably green block , purple block , yellow block 's equal",purple = green + yellow,0.7937629,<m> yellow = green + purple </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,purple block one thirty yellow block fifty less,"purple = 30, yellow = 50",0.24884826,"<m> purple = 30, yellow = 50 </m>",9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,purple block one thirty yellow block fifty less,"purple = 50, yellow = 30",0.23547082,"<m> purple = 30, yellow = 50 </m>",9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,I tell red cube ten grams,red = 10,0.9819521,<m> red = 10 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,I tell red cube ten grams,red < 10,0.0119056925,<m> red = 10 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,I tell red cube ten grams,red != 10,0.0073709246,<m> red = 10 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,I tell red cube ten grams,red > 10,0.0071805,<m> red = 10 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,alright reese fill survey end red block ten grams,red = 10,0.969695,<m> red = 10 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,alright reese fill survey end red block ten grams,red < 10,0.03314563,<m> red = 10 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,alright reese fill survey end red block ten grams,red != 10,0.028600996,<m> red = 10 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,alright reese fill survey end red block ten grams,red > 10,0.022345774,<m> red = 10 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,"'d red block , blue block 's basically 's teetering",blue = red,0.9583312,<m> blue = red </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,"'d red block , blue block 's basically 's teetering",blue != red,0.7648013,<m> blue = red </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,"'d red block , blue block 's basically 's teetering",blue < red,0.6094427,<m> blue = red </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,"'d red block , blue block 's basically 's teetering",red > blue,0.5996057,<m> blue = red </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,"'d red block , blue block 's basically 's teetering",blue > red,0.5971844,<m> blue = red </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,"scale red block , blue block ten","blue = 10, red = 10",0.44611627,"<m> blue = 10, red = 10 </m>",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,green block one 's twenty,green = 20,0.9785199,<m> green = 20 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,green block one 's twenty,green != 20,0.087551504,<m> green = 20 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,green block one 's twenty,green > 20,0.022014761,<m> green = 20 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,green block one 's twenty,green < 20,0.018992115,<m> green = 20 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,"red block , blue block ten theory ten ten twenty",green = red,0.9700037,"<m> blue = 10, green = 20, red = 10 </m>",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,"red block , blue block ten theory ten ten twenty",blue = red,0.9687854,"<m> blue = 10, green = 20, red = 10 </m>",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,"red block , blue block ten theory ten ten twenty",red = yellow,0.96687055,"<m> blue = 10, green = 20, red = 10 </m>",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,"red block , blue block ten theory ten ten twenty",red = 40,0.96652114,"<m> blue = 10, green = 20, red = 10 </m>",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,"red block , blue block ten theory ten ten twenty",purple < blue + yellow,0.96594214,"<m> blue = 10, green = 20, red = 10 </m>",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,green twenty let 's see use hands,green = 20,0.96433175,<m> green = 20 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,green twenty let 's see use hands,green != 20,0.25035313,<m> green = 20 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,green twenty let 's see use hands,green < 20,0.0722975,<m> green = 20 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,green twenty let 's see use hands,green > 20,0.035357542,<m> green = 20 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,purple block heavier green block one green block twenty purple block heavier green block one,blue = purple,0.9691051,<m> purple > green </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,purple block heavier green block one green block twenty purple block heavier green block one,purple = 20,0.9657531,<m> purple > green </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,purple block heavier green block one green block twenty purple block heavier green block one,purple = 10,0.9656031,<m> purple > green </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,purple block heavier green block one green block twenty purple block heavier green block one,green = purple,0.96410906,<m> purple > green </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,purple block heavier green block one green block twenty purple block heavier green block one,purple = red,0.96025455,<m> purple > green </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,purple block 's heavier greather twenty,purple = 20,0.9497243,<m> purple > 20 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,purple block 's heavier greather twenty,purple != 20,0.20907745,<m> purple > 20 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,purple block 's heavier greather twenty,purple < 20,0.14379527,<m> purple > 20 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,purple block 's heavier greather twenty,purple > 20,0.12491502,<m> purple > 20 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,teeter teeter purple block 's less forty greater twenty purple block 's likely thirty n't options purple block 's gon na thirty,purple = 20,0.792716,<m> purple = 30 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,teeter teeter purple block 's less forty greater twenty purple block 's likely thirty n't options purple block 's gon na thirty,purple = 30,0.7528836,<m> purple = 30 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,teeter teeter purple block 's less forty greater twenty purple block 's likely thirty n't options purple block 's gon na thirty,purple = 40,0.6479145,<m> purple = 30 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,teeter teeter purple block 's less forty greater twenty purple block 's likely thirty n't options purple block 's gon na thirty,"purple = 30, red = 30",0.6284588,<m> purple = 30 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,teeter teeter purple block 's less forty greater twenty purple block 's likely thirty n't options purple block 's gon na thirty,"purple = 30, yellow = 30",0.6123321,<m> purple = 30 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,Thirty twenty,"green = 20, yellow = 30",0.17963195,"<m> green = 20, purple = 30 </m>",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,Thirty twenty,"green = 30, yellow = 20",0.16601083,"<m> green = 20, purple = 30 </m>",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,Thirty twenty,"green = 20, red = 30",0.10692774,"<m> green = 20, purple = 30 </m>",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,Thirty twenty,"green = 30, red = 20",0.087073214,"<m> green = 20, purple = 30 </m>",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,Thirty twenty,"green = 20, purple = 30",0.08590405,"<m> green = 20, purple = 30 </m>",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,"purple block , green block looks almost little bit heavier 's close enough fifty option definitely let 's put sixty",purple = 50,0.89835036,<m> yellow = 50 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,"purple block , green block looks almost little bit heavier 's close enough fifty option definitely let 's put sixty",green = 50,0.86783195,<m> yellow = 50 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,"purple block , green block looks almost little bit heavier 's close enough fifty option definitely let 's put sixty",blue = 50,0.8525588,<m> yellow = 50 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,"purple block , green block looks almost little bit heavier 's close enough fifty option definitely let 's put sixty",yellow = 50,0.8400496,<m> yellow = 50 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,"purple block , green block looks almost little bit heavier 's close enough fifty option definitely let 's put sixty",red = 50,0.8020831,<m> yellow = 50 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,"purple block thirty right red block ten purple block , red block would forty yellow block 's forty less sixty yellow block 's got ta fifty",yellow = 50,0.98328257,<m> yellow = 50 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,"purple block thirty right red block ten purple block , red block would forty yellow block 's forty less sixty yellow block 's got ta fifty",purple = 50,0.98200214,<m> yellow = 50 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,"purple block thirty right red block ten purple block , red block would forty yellow block 's forty less sixty yellow block 's got ta fifty",yellow = 10,0.9816924,<m> yellow = 50 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,"purple block thirty right red block ten purple block , red block would forty yellow block 's forty less sixty yellow block 's got ta fifty",purple = 10,0.98167276,<m> yellow = 50 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,"purple block thirty right red block ten purple block , red block would forty yellow block 's forty less sixty yellow block 's got ta fifty",yellow = 30,0.98148733,<m> yellow = 50 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,yellow block fifty purple block thirty,"purple = 30, yellow = 50",0.86766964,"<m> purple = 30, yellow = 50 </m>",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,yellow block fifty purple block thirty,"purple = 50, yellow = 30",0.86209774,"<m> purple = 30, yellow = 50 </m>",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,let 's go thirty purple block 's thirty,purple = 30,0.981762,<m> purple = 30 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,let 's go thirty purple block 's thirty,purple != 30,0.75265074,<m> purple = 30 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,let 's go thirty purple block 's thirty,purple < 30,0.7462075,<m> purple = 30 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,let 's go thirty purple block 's thirty,purple > 30,0.6916156,<m> purple = 30 </m>,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,I tell red cube ten grams,red = 10,0.9601264,<m> red = 10 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,I tell red cube ten grams,red > 10,0.011975471,<m> red = 10 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,I tell red cube ten grams,red < 10,0.011083246,<m> red = 10 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,I tell red cube ten grams,red != 10,0.0108457245,<m> red = 10 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,red block red one 's ten grams,red = 10,0.9230834,<m> red = 10 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,red block red one 's ten grams,red != 10,0.016938282,<m> red = 10 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,red block red one 's ten grams,red < 10,0.0069133136,<m> red = 10 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,red block red one 's ten grams,red > 10,0.0051728897,<m> red = 10 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,"seems red block , blue block might",blue = red,0.9913132,<m> blue = red </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,"seems red block , blue block might",blue > red,0.9807652,<m> blue = red </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,"seems red block , blue block might",red > blue,0.9746156,<m> blue = red </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,"seems red block , blue block might",blue != red,0.8679387,<m> blue = red </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,"seems red block , blue block might",red < blue,0.82657635,<m> blue = red </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,"'s stuff written bottom 's red block , green block 's ten twenty right right 's looking","green = 20, red = 10",0.10307513,"<m> green = 20, red = 10 </m>",6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,"'s stuff written bottom 's red block , green block 's ten twenty right right 's looking","green = 10, red = 20",0.0883277,"<m> green = 20, red = 10 </m>",6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,purple block 's twenty almost seems thirty takes past,purple = 30,0.9226432,<m> purple > 20 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,purple block 's twenty almost seems thirty takes past,purple = 20,0.8990364,<m> purple > 20 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,purple block 's twenty almost seems thirty takes past,"green = 10, purple = 30",0.3048412,<m> purple > 20 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,purple block 's twenty almost seems thirty takes past,"green = 10, purple = 20",0.2643139,<m> purple > 20 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,purple block 's twenty almost seems thirty takes past,"green = 20, purple = 30",0.26260334,<m> purple > 20 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,"red block , blue block , green block , yellow block , purple block 're increments ten purple block",blue = red,0.9729719,<m> purple = 30 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,"red block , blue block , green block , yellow block , purple block 're increments ten purple block",green = yellow,0.97079694,<m> purple = 30 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,"red block , blue block , green block , yellow block , purple block 're increments ten purple block",blue = yellow,0.9684609,<m> purple = 30 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,"red block , blue block , green block , yellow block , purple block 're increments ten purple block",blue = green,0.96815014,<m> purple = 30 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,"red block , blue block , green block , yellow block , purple block 're increments ten purple block",green = red,0.9680595,<m> purple = 30 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,Fifty,yellow = 50,0.9801607,<m> yellow = 50 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,Fifty,green = 50,0.97892994,<m> yellow = 50 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,Fifty,blue = 50,0.9706894,<m> yellow = 50 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,Fifty,red = 50,0.9654487,<m> yellow = 50 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,Fifty,purple = 50,0.95448554,<m> yellow = 50 </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,purple block 's thirty green twenty,"green = 20, purple = 30",0.7428262,"<m> green = 20, purple = 30 </m>",6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,purple block 's thirty green twenty,"green = 30, purple = 20",0.6259959,"<m> green = 20, purple = 30 </m>",6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,red small blue ten,"blue = 10, red = 10",0.703201,"<m> blue = 10, red = 10 </m>",6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,"green block , purple block 's heavy",green = 40,0.981876,<m> yellow < green + purple </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,"green block , purple block 's heavy",green = 10,0.98070526,<m> yellow < green + purple </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,"green block , purple block 's heavy",green = red,0.9807023,<m> yellow < green + purple </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,"green block , purple block 's heavy",purple = red,0.9801675,<m> yellow < green + purple </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,"green block , purple block 's heavy",purple = yellow,0.97968173,<m> yellow < green + purple </m>,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
