,Propositions
454,"red = 10 , blue = 40 , purple = 50"
455,"red = 10 , blue = 40 , yellow = 10"
456,"red = 10 , blue = 40 , yellow = 20"
457,"red = 10 , blue = 40 , yellow = 30"
458,"red = 10 , blue = 40 , yellow = 40"
459,"red = 10 , blue = 40 , yellow = 50"
460,"red = 10 , blue = 50 , green = 10"
461,"red = 10 , blue = 50 , green = 20"
462,"red = 10 , blue = 50 , green = 30"
463,"red = 10 , blue = 50 , green = 40"
464,"red = 10 , blue = 50 , green = 50"
465,"red = 10 , blue = 50 , purple = 10"
466,"red = 10 , blue = 50 , purple = 20"
467,"red = 10 , blue = 50 , purple = 30"
468,"red = 10 , blue = 50 , purple = 40"
469,"red = 10 , blue = 50 , purple = 50"
470,"red = 10 , blue = 50 , yellow = 10"
471,"red = 10 , blue = 50 , yellow = 20"
472,"red = 10 , blue = 50 , yellow = 30"
473,"red = 10 , blue = 50 , yellow = 40"
474,"red = 10 , blue = 50 , yellow = 50"
475,"red = 10 , green = 10 , purple = 10"
476,"red = 10 , green = 10 , purple = 20"
477,"red = 10 , green = 10 , purple = 30"
478,"red = 10 , green = 10 , purple = 40"
479,"red = 10 , green = 10 , purple = 50"
480,"red = 10 , green = 10 , yellow = 10"
481,"red = 10 , green = 10 , yellow = 20"
482,"red = 10 , green = 10 , yellow = 30"
483,"red = 10 , green = 10 , yellow = 40"
484,"red = 10 , green = 10 , yellow = 50"
485,"red = 10 , green = 20 , purple = 10"
486,"red = 10 , green = 20 , purple = 20"
487,"red = 10 , green = 20 , purple = 30"
488,"red = 10 , green = 20 , purple = 40"
489,"red = 10 , green = 20 , purple = 50"
490,"red = 10 , green = 20 , yellow = 10"
491,"red = 10 , green = 20 , yellow = 20"
492,"red = 10 , green = 20 , yellow = 30"
493,"red = 10 , green = 20 , yellow = 40"
494,"red = 10 , green = 20 , yellow = 50"
495,"red = 10 , green = 30 , purple = 10"
496,"red = 10 , green = 30 , purple = 20"
497,"red = 10 , green = 30 , purple = 30"
498,"red = 10 , green = 30 , purple = 40"
499,"red = 10 , green = 30 , purple = 50"
500,"red = 10 , green = 30 , yellow = 10"
501,"red = 10 , green = 30 , yellow = 20"
502,"red = 10 , green = 30 , yellow = 30"
503,"red = 10 , green = 30 , yellow = 40"
504,"red = 10 , green = 30 , yellow = 50"
505,"red = 10 , green = 40 , purple = 10"
506,"red = 10 , green = 40 , purple = 20"
507,"red = 10 , green = 40 , purple = 30"
508,"red = 10 , green = 40 , purple = 40"
509,"red = 10 , green = 40 , purple = 50"
510,"red = 10 , green = 40 , yellow = 10"
511,"red = 10 , green = 40 , yellow = 20"
512,"red = 10 , green = 40 , yellow = 30"
513,"red = 10 , green = 40 , yellow = 40"
514,"red = 10 , green = 40 , yellow = 50"
515,"red = 10 , green = 50 , purple = 10"
516,"red = 10 , green = 50 , purple = 20"
517,"red = 10 , green = 50 , purple = 30"
518,"red = 10 , green = 50 , purple = 40"
519,"red = 10 , green = 50 , purple = 50"
520,"red = 10 , green = 50 , yellow = 10"
521,"red = 10 , green = 50 , yellow = 20"
522,"red = 10 , green = 50 , yellow = 30"
523,"red = 10 , green = 50 , yellow = 40"
524,"red = 10 , green = 50 , yellow = 50"
525,"red = 10 , purple = 10 , yellow = 10"
526,"red = 10 , purple = 10 , yellow = 20"
527,"red = 10 , purple = 10 , yellow = 30"
528,"red = 10 , purple = 10 , yellow = 40"
529,"red = 10 , purple = 10 , yellow = 50"
530,"red = 10 , purple = 20 , yellow = 10"
531,"red = 10 , purple = 20 , yellow = 20"
532,"red = 10 , purple = 20 , yellow = 30"
533,"red = 10 , purple = 20 , yellow = 40"
534,"red = 10 , purple = 20 , yellow = 50"
535,"red = 10 , purple = 30 , yellow = 10"
536,"red = 10 , purple = 30 , yellow = 20"
537,"red = 10 , purple = 30 , yellow = 30"
538,"red = 10 , purple = 30 , yellow = 40"
539,"red = 10 , purple = 30 , yellow = 50"
540,"red = 10 , purple = 40 , yellow = 10"
541,"red = 10 , purple = 40 , yellow = 20"
542,"red = 10 , purple = 40 , yellow = 30"
543,"red = 10 , purple = 40 , yellow = 40"
544,"red = 10 , purple = 40 , yellow = 50"
545,"red = 10 , purple = 50 , yellow = 10"
546,"red = 10 , purple = 50 , yellow = 20"
547,"red = 10 , purple = 50 , yellow = 30"
548,"red = 10 , purple = 50 , yellow = 40"
549,"red = 10 , purple = 50 , yellow = 50"
550,"red = 20 , blue = 10 , green = 10"
551,"red = 20 , blue = 10 , green = 20"
552,"red = 20 , blue = 10 , green = 30"
553,"red = 20 , blue = 10 , green = 40"
554,"red = 20 , blue = 10 , green = 50"
555,"red = 20 , blue = 10 , purple = 10"
556,"red = 20 , blue = 10 , purple = 20"
557,"red = 20 , blue = 10 , purple = 30"
558,"red = 20 , blue = 10 , purple = 40"
559,"red = 20 , blue = 10 , purple = 50"
560,"red = 20 , blue = 10 , yellow = 10"
561,"red = 20 , blue = 10 , yellow = 20"
562,"red = 20 , blue = 10 , yellow = 30"
563,"red = 20 , blue = 10 , yellow = 40"
564,"red = 20 , blue = 10 , yellow = 50"
565,"red = 20 , blue = 20 , green = 10"
566,"red = 20 , blue = 20 , green = 20"
567,"red = 20 , blue = 20 , green = 30"
568,"red = 20 , blue = 20 , green = 40"
569,"red = 20 , blue = 20 , green = 50"
570,"red = 20 , blue = 20 , purple = 10"
571,"red = 20 , blue = 20 , purple = 20"
572,"red = 20 , blue = 20 , purple = 30"
573,"red = 20 , blue = 20 , purple = 40"
574,"red = 20 , blue = 20 , purple = 50"
575,"red = 20 , blue = 20 , yellow = 10"
576,"red = 20 , blue = 20 , yellow = 20"
577,"red = 20 , blue = 20 , yellow = 30"
578,"red = 20 , blue = 20 , yellow = 40"
579,"red = 20 , blue = 20 , yellow = 50"
580,"red = 20 , blue = 30 , green = 10"
581,"red = 20 , blue = 30 , green = 20"
582,"red = 20 , blue = 30 , green = 30"
583,"red = 20 , blue = 30 , green = 40"
584,"red = 20 , blue = 30 , green = 50"
585,"red = 20 , blue = 30 , purple = 10"
586,"red = 20 , blue = 30 , purple = 20"
587,"red = 20 , blue = 30 , purple = 30"
588,"red = 20 , blue = 30 , purple = 40"
589,"red = 20 , blue = 30 , purple = 50"
590,"red = 20 , blue = 30 , yellow = 10"
591,"red = 20 , blue = 30 , yellow = 20"
592,"red = 20 , blue = 30 , yellow = 30"
593,"red = 20 , blue = 30 , yellow = 40"
594,"red = 20 , blue = 30 , yellow = 50"
595,"red = 20 , blue = 40 , green = 10"
596,"red = 20 , blue = 40 , green = 20"
597,"red = 20 , blue = 40 , green = 30"
598,"red = 20 , blue = 40 , green = 40"
599,"red = 20 , blue = 40 , green = 50"
600,"red = 20 , blue = 40 , purple = 10"
601,"red = 20 , blue = 40 , purple = 20"
602,"red = 20 , blue = 40 , purple = 30"
603,"red = 20 , blue = 40 , purple = 40"
604,"red = 20 , blue = 40 , purple = 50"
605,"red = 20 , blue = 40 , yellow = 10"
606,"red = 20 , blue = 40 , yellow = 20"
607,"red = 20 , blue = 40 , yellow = 30"
608,"red = 20 , blue = 40 , yellow = 40"
609,"red = 20 , blue = 40 , yellow = 50"
610,"red = 20 , blue = 50 , green = 10"
611,"red = 20 , blue = 50 , green = 20"
612,"red = 20 , blue = 50 , green = 30"
613,"red = 20 , blue = 50 , green = 40"
614,"red = 20 , blue = 50 , green = 50"
615,"red = 20 , blue = 50 , purple = 10"
616,"red = 20 , blue = 50 , purple = 20"
617,"red = 20 , blue = 50 , purple = 30"
618,"red = 20 , blue = 50 , purple = 40"
619,"red = 20 , blue = 50 , purple = 50"
620,"red = 20 , blue = 50 , yellow = 10"
621,"red = 20 , blue = 50 , yellow = 20"
622,"red = 20 , blue = 50 , yellow = 30"
623,"red = 20 , blue = 50 , yellow = 40"
624,"red = 20 , blue = 50 , yellow = 50"
625,"red = 20 , green = 10 , purple = 10"
626,"red = 20 , green = 10 , purple = 20"
627,"red = 20 , green = 10 , purple = 30"
628,"red = 20 , green = 10 , purple = 40"
629,"red = 20 , green = 10 , purple = 50"
630,"red = 20 , green = 10 , yellow = 10"
631,"red = 20 , green = 10 , yellow = 20"
632,"red = 20 , green = 10 , yellow = 30"
633,"red = 20 , green = 10 , yellow = 40"
634,"red = 20 , green = 10 , yellow = 50"
635,"red = 20 , green = 20 , purple = 10"
636,"red = 20 , green = 20 , purple = 20"
637,"red = 20 , green = 20 , purple = 30"
638,"red = 20 , green = 20 , purple = 40"
639,"red = 20 , green = 20 , purple = 50"
640,"red = 20 , green = 20 , yellow = 10"
641,"red = 20 , green = 20 , yellow = 20"
642,"red = 20 , green = 20 , yellow = 30"
643,"red = 20 , green = 20 , yellow = 40"
644,"red = 20 , green = 20 , yellow = 50"
645,"red = 20 , green = 30 , purple = 10"
646,"red = 20 , green = 30 , purple = 20"
647,"red = 20 , green = 30 , purple = 30"
648,"red = 20 , green = 30 , purple = 40"
649,"red = 20 , green = 30 , purple = 50"
650,"red = 20 , green = 30 , yellow = 10"
651,"red = 20 , green = 30 , yellow = 20"
652,"red = 20 , green = 30 , yellow = 30"
653,"red = 20 , green = 30 , yellow = 40"
654,"red = 20 , green = 30 , yellow = 50"
655,"red = 20 , green = 40 , purple = 10"
656,"red = 20 , green = 40 , purple = 20"
657,"red = 20 , green = 40 , purple = 30"
658,"red = 20 , green = 40 , purple = 40"
659,"red = 20 , green = 40 , purple = 50"
660,"red = 20 , green = 40 , yellow = 10"
661,"red = 20 , green = 40 , yellow = 20"
662,"red = 20 , green = 40 , yellow = 30"
663,"red = 20 , green = 40 , yellow = 40"
664,"red = 20 , green = 40 , yellow = 50"
665,"red = 20 , green = 50 , purple = 10"
666,"red = 20 , green = 50 , purple = 20"
667,"red = 20 , green = 50 , purple = 30"
668,"red = 20 , green = 50 , purple = 40"
669,"red = 20 , green = 50 , purple = 50"
670,"red = 20 , green = 50 , yellow = 10"
671,"red = 20 , green = 50 , yellow = 20"
672,"red = 20 , green = 50 , yellow = 30"
673,"red = 20 , green = 50 , yellow = 40"
674,"red = 20 , green = 50 , yellow = 50"
675,"red = 20 , purple = 10 , yellow = 10"
676,"red = 20 , purple = 10 , yellow = 20"
677,"red = 20 , purple = 10 , yellow = 30"
678,"red = 20 , purple = 10 , yellow = 40"
679,"red = 20 , purple = 10 , yellow = 50"
680,"red = 20 , purple = 20 , yellow = 10"
681,"red = 20 , purple = 20 , yellow = 20"
682,"red = 20 , purple = 20 , yellow = 30"
683,"red = 20 , purple = 20 , yellow = 40"
684,"red = 20 , purple = 20 , yellow = 50"
685,"red = 20 , purple = 30 , yellow = 10"
686,"red = 20 , purple = 30 , yellow = 20"
687,"red = 20 , purple = 30 , yellow = 30"
688,"red = 20 , purple = 30 , yellow = 40"
689,"red = 20 , purple = 30 , yellow = 50"
690,"red = 20 , purple = 40 , yellow = 10"
691,"red = 20 , purple = 40 , yellow = 20"
692,"red = 20 , purple = 40 , yellow = 30"
693,"red = 20 , purple = 40 , yellow = 40"
694,"red = 20 , purple = 40 , yellow = 50"
695,"red = 20 , purple = 50 , yellow = 10"
696,"red = 20 , purple = 50 , yellow = 20"
697,"red = 20 , purple = 50 , yellow = 30"
698,"red = 20 , purple = 50 , yellow = 40"
699,"red = 20 , purple = 50 , yellow = 50"
700,"red = 30 , blue = 10 , green = 10"
701,"red = 30 , blue = 10 , green = 20"
702,"red = 30 , blue = 10 , green = 30"
703,"red = 30 , blue = 10 , green = 40"
704,"red = 30 , blue = 10 , green = 50"
705,"red = 30 , blue = 10 , purple = 10"
706,"red = 30 , blue = 10 , purple = 20"
707,"red = 30 , blue = 10 , purple = 30"
708,"red = 30 , blue = 10 , purple = 40"
709,"red = 30 , blue = 10 , purple = 50"
710,"red = 30 , blue = 10 , yellow = 10"
711,"red = 30 , blue = 10 , yellow = 20"
712,"red = 30 , blue = 10 , yellow = 30"
713,"red = 30 , blue = 10 , yellow = 40"
714,"red = 30 , blue = 10 , yellow = 50"
715,"red = 30 , blue = 20 , green = 10"
716,"red = 30 , blue = 20 , green = 20"
717,"red = 30 , blue = 20 , green = 30"
718,"red = 30 , blue = 20 , green = 40"
719,"red = 30 , blue = 20 , green = 50"
720,"red = 30 , blue = 20 , purple = 10"
721,"red = 30 , blue = 20 , purple = 20"
722,"red = 30 , blue = 20 , purple = 30"
723,"red = 30 , blue = 20 , purple = 40"
724,"red = 30 , blue = 20 , purple = 50"
725,"red = 30 , blue = 20 , yellow = 10"
726,"red = 30 , blue = 20 , yellow = 20"
727,"red = 30 , blue = 20 , yellow = 30"
728,"red = 30 , blue = 20 , yellow = 40"
729,"red = 30 , blue = 20 , yellow = 50"
730,"red = 30 , blue = 30 , green = 10"
731,"red = 30 , blue = 30 , green = 20"
732,"red = 30 , blue = 30 , green = 30"
733,"red = 30 , blue = 30 , green = 40"
734,"red = 30 , blue = 30 , green = 50"
735,"red = 30 , blue = 30 , purple = 10"
736,"red = 30 , blue = 30 , purple = 20"
737,"red = 30 , blue = 30 , purple = 30"
738,"red = 30 , blue = 30 , purple = 40"
739,"red = 30 , blue = 30 , purple = 50"
740,"red = 30 , blue = 30 , yellow = 10"
741,"red = 30 , blue = 30 , yellow = 20"
742,"red = 30 , blue = 30 , yellow = 30"
743,"red = 30 , blue = 30 , yellow = 40"
744,"red = 30 , blue = 30 , yellow = 50"
745,"red = 30 , blue = 40 , green = 10"
746,"red = 30 , blue = 40 , green = 20"
747,"red = 30 , blue = 40 , green = 30"
748,"red = 30 , blue = 40 , green = 40"
749,"red = 30 , blue = 40 , green = 50"
750,"red = 30 , blue = 40 , purple = 10"
751,"red = 30 , blue = 40 , purple = 20"
752,"red = 30 , blue = 40 , purple = 30"
753,"red = 30 , blue = 40 , purple = 40"
754,"red = 30 , blue = 40 , purple = 50"
755,"red = 30 , blue = 40 , yellow = 10"
756,"red = 30 , blue = 40 , yellow = 20"
757,"red = 30 , blue = 40 , yellow = 30"
758,"red = 30 , blue = 40 , yellow = 40"
759,"red = 30 , blue = 40 , yellow = 50"
760,"red = 30 , blue = 50 , green = 10"
761,"red = 30 , blue = 50 , green = 20"
762,"red = 30 , blue = 50 , green = 30"
763,"red = 30 , blue = 50 , green = 40"
764,"red = 30 , blue = 50 , green = 50"
765,"red = 30 , blue = 50 , purple = 10"
766,"red = 30 , blue = 50 , purple = 20"
767,"red = 30 , blue = 50 , purple = 30"
768,"red = 30 , blue = 50 , purple = 40"
769,"red = 30 , blue = 50 , purple = 50"
770,"red = 30 , blue = 50 , yellow = 10"
771,"red = 30 , blue = 50 , yellow = 20"
772,"red = 30 , blue = 50 , yellow = 30"
773,"red = 30 , blue = 50 , yellow = 40"
774,"red = 30 , blue = 50 , yellow = 50"
775,"red = 30 , green = 10 , purple = 10"
776,"red = 30 , green = 10 , purple = 20"
777,"red = 30 , green = 10 , purple = 30"
778,"red = 30 , green = 10 , purple = 40"
779,"red = 30 , green = 10 , purple = 50"
780,"red = 30 , green = 10 , yellow = 10"
781,"red = 30 , green = 10 , yellow = 20"
782,"red = 30 , green = 10 , yellow = 30"
783,"red = 30 , green = 10 , yellow = 40"
784,"red = 30 , green = 10 , yellow = 50"
785,"red = 30 , green = 20 , purple = 10"
786,"red = 30 , green = 20 , purple = 20"
787,"red = 30 , green = 20 , purple = 30"
788,"red = 30 , green = 20 , purple = 40"
789,"red = 30 , green = 20 , purple = 50"
790,"red = 30 , green = 20 , yellow = 10"
791,"red = 30 , green = 20 , yellow = 20"
792,"red = 30 , green = 20 , yellow = 30"
793,"red = 30 , green = 20 , yellow = 40"
794,"red = 30 , green = 20 , yellow = 50"
795,"red = 30 , green = 30 , purple = 10"
796,"red = 30 , green = 30 , purple = 20"
797,"red = 30 , green = 30 , purple = 30"
798,"red = 30 , green = 30 , purple = 40"
799,"red = 30 , green = 30 , purple = 50"
800,"red = 30 , green = 30 , yellow = 10"
801,"red = 30 , green = 30 , yellow = 20"
802,"red = 30 , green = 30 , yellow = 30"
803,"red = 30 , green = 30 , yellow = 40"
804,"red = 30 , green = 30 , yellow = 50"
805,"red = 30 , green = 40 , purple = 10"
806,"red = 30 , green = 40 , purple = 20"
807,"red = 30 , green = 40 , purple = 30"
808,"red = 30 , green = 40 , purple = 40"
809,"red = 30 , green = 40 , purple = 50"
810,"red = 30 , green = 40 , yellow = 10"
811,"red = 30 , green = 40 , yellow = 20"
812,"red = 30 , green = 40 , yellow = 30"
813,"red = 30 , green = 40 , yellow = 40"
814,"red = 30 , green = 40 , yellow = 50"
815,"red = 30 , green = 50 , purple = 10"
816,"red = 30 , green = 50 , purple = 20"
817,"red = 30 , green = 50 , purple = 30"
818,"red = 30 , green = 50 , purple = 40"
819,"red = 30 , green = 50 , purple = 50"
820,"red = 30 , green = 50 , yellow = 10"
821,"red = 30 , green = 50 , yellow = 20"
822,"red = 30 , green = 50 , yellow = 30"
823,"red = 30 , green = 50 , yellow = 40"
824,"red = 30 , green = 50 , yellow = 50"
825,"red = 30 , purple = 10 , yellow = 10"
826,"red = 30 , purple = 10 , yellow = 20"
827,"red = 30 , purple = 10 , yellow = 30"
828,"red = 30 , purple = 10 , yellow = 40"
829,"red = 30 , purple = 10 , yellow = 50"
830,"red = 30 , purple = 20 , yellow = 10"
831,"red = 30 , purple = 20 , yellow = 20"
832,"red = 30 , purple = 20 , yellow = 30"
833,"red = 30 , purple = 20 , yellow = 40"
