,Propositions
404,red block equals ten and blue block equals ten and green block equals fifty
405,red block equals ten and blue block equals ten and purple block equals ten
406,red block equals ten and blue block equals ten and purple block equals twenty
407,red block equals ten and blue block equals ten and purple block equals thirty
408,red block equals ten and blue block equals ten and purple block equals forty
409,red block equals ten and blue block equals ten and purple block equals fifty
410,red block equals ten and blue block equals ten and yellow block equals ten
411,red block equals ten and blue block equals ten and yellow block equals twenty
412,red block equals ten and blue block equals ten and yellow block equals thirty
413,red block equals ten and blue block equals ten and yellow block equals forty
414,red block equals ten and blue block equals ten and yellow block equals fifty
415,red block equals ten and blue block equals twenty and green block equals ten
416,red block equals ten and blue block equals twenty and green block equals twenty
417,red block equals ten and blue block equals twenty and green block equals thirty
418,red block equals ten and blue block equals twenty and green block equals forty
419,red block equals ten and blue block equals twenty and green block equals fifty
420,red block equals ten and blue block equals twenty and purple block equals ten
421,red block equals ten and blue block equals twenty and purple block equals twenty
422,red block equals ten and blue block equals twenty and purple block equals thirty
423,red block equals ten and blue block equals twenty and purple block equals forty
424,red block equals ten and blue block equals twenty and purple block equals fifty
425,red block equals ten and blue block equals twenty and yellow block equals ten
426,red block equals ten and blue block equals twenty and yellow block equals twenty
427,red block equals ten and blue block equals twenty and yellow block equals thirty
428,red block equals ten and blue block equals twenty and yellow block equals forty
429,red block equals ten and blue block equals twenty and yellow block equals fifty
430,red block equals ten and blue block equals thirty and green block equals ten
431,red block equals ten and blue block equals thirty and green block equals twenty
432,red block equals ten and blue block equals thirty and green block equals thirty
433,red block equals ten and blue block equals thirty and green block equals forty
434,red block equals ten and blue block equals thirty and green block equals fifty
435,red block equals ten and blue block equals thirty and purple block equals ten
436,red block equals ten and blue block equals thirty and purple block equals twenty
437,red block equals ten and blue block equals thirty and purple block equals thirty
438,red block equals ten and blue block equals thirty and purple block equals forty
439,red block equals ten and blue block equals thirty and purple block equals fifty
440,red block equals ten and blue block equals thirty and yellow block equals ten
441,red block equals ten and blue block equals thirty and yellow block equals twenty
442,red block equals ten and blue block equals thirty and yellow block equals thirty
443,red block equals ten and blue block equals thirty and yellow block equals forty
444,red block equals ten and blue block equals thirty and yellow block equals fifty
445,red block equals ten and blue block equals forty and green block equals ten
446,red block equals ten and blue block equals forty and green block equals twenty
447,red block equals ten and blue block equals forty and green block equals thirty
448,red block equals ten and blue block equals forty and green block equals forty
449,red block equals ten and blue block equals forty and green block equals fifty
450,red block equals ten and blue block equals forty and purple block equals ten
451,red block equals ten and blue block equals forty and purple block equals twenty
452,red block equals ten and blue block equals forty and purple block equals thirty
453,red block equals ten and blue block equals forty and purple block equals forty
454,red block equals ten and blue block equals forty and purple block equals fifty
455,red block equals ten and blue block equals forty and yellow block equals ten
456,red block equals ten and blue block equals forty and yellow block equals twenty
457,red block equals ten and blue block equals forty and yellow block equals thirty
458,red block equals ten and blue block equals forty and yellow block equals forty
459,red block equals ten and blue block equals forty and yellow block equals fifty
460,red block equals ten and blue block equals fifty and green block equals ten
461,red block equals ten and blue block equals fifty and green block equals twenty
462,red block equals ten and blue block equals fifty and green block equals thirty
463,red block equals ten and blue block equals fifty and green block equals forty
464,red block equals ten and blue block equals fifty and green block equals fifty
465,red block equals ten and blue block equals fifty and purple block equals ten
466,red block equals ten and blue block equals fifty and purple block equals twenty
467,red block equals ten and blue block equals fifty and purple block equals thirty
468,red block equals ten and blue block equals fifty and purple block equals forty
469,red block equals ten and blue block equals fifty and purple block equals fifty
470,red block equals ten and blue block equals fifty and yellow block equals ten
471,red block equals ten and blue block equals fifty and yellow block equals twenty
472,red block equals ten and blue block equals fifty and yellow block equals thirty
473,red block equals ten and blue block equals fifty and yellow block equals forty
474,red block equals ten and blue block equals fifty and yellow block equals fifty
475,red block equals ten and green block equals ten and purple block equals ten
476,red block equals ten and green block equals ten and purple block equals twenty
477,red block equals ten and green block equals ten and purple block equals thirty
478,red block equals ten and green block equals ten and purple block equals forty
479,red block equals ten and green block equals ten and purple block equals fifty
480,red block equals ten and green block equals ten and yellow block equals ten
481,red block equals ten and green block equals ten and yellow block equals twenty
482,red block equals ten and green block equals ten and yellow block equals thirty
483,red block equals ten and green block equals ten and yellow block equals forty
484,red block equals ten and green block equals ten and yellow block equals fifty
485,red block equals ten and green block equals twenty and purple block equals ten
486,red block equals ten and green block equals twenty and purple block equals twenty
487,red block equals ten and green block equals twenty and purple block equals thirty
488,red block equals ten and green block equals twenty and purple block equals forty
489,red block equals ten and green block equals twenty and purple block equals fifty
490,red block equals ten and green block equals twenty and yellow block equals ten
491,red block equals ten and green block equals twenty and yellow block equals twenty
492,red block equals ten and green block equals twenty and yellow block equals thirty
493,red block equals ten and green block equals twenty and yellow block equals forty
494,red block equals ten and green block equals twenty and yellow block equals fifty
495,red block equals ten and green block equals thirty and purple block equals ten
496,red block equals ten and green block equals thirty and purple block equals twenty
497,red block equals ten and green block equals thirty and purple block equals thirty
498,red block equals ten and green block equals thirty and purple block equals forty
499,red block equals ten and green block equals thirty and purple block equals fifty
500,red block equals ten and green block equals thirty and yellow block equals ten
501,red block equals ten and green block equals thirty and yellow block equals twenty
502,red block equals ten and green block equals thirty and yellow block equals thirty
503,red block equals ten and green block equals thirty and yellow block equals forty
504,red block equals ten and green block equals thirty and yellow block equals fifty
505,red block equals ten and green block equals forty and purple block equals ten
506,red block equals ten and green block equals forty and purple block equals twenty
507,red block equals ten and green block equals forty and purple block equals thirty
508,red block equals ten and green block equals forty and purple block equals forty
509,red block equals ten and green block equals forty and purple block equals fifty
510,red block equals ten and green block equals forty and yellow block equals ten
511,red block equals ten and green block equals forty and yellow block equals twenty
512,red block equals ten and green block equals forty and yellow block equals thirty
513,red block equals ten and green block equals forty and yellow block equals forty
514,red block equals ten and green block equals forty and yellow block equals fifty
515,red block equals ten and green block equals fifty and purple block equals ten
516,red block equals ten and green block equals fifty and purple block equals twenty
517,red block equals ten and green block equals fifty and purple block equals thirty
518,red block equals ten and green block equals fifty and purple block equals forty
519,red block equals ten and green block equals fifty and purple block equals fifty
520,red block equals ten and green block equals fifty and yellow block equals ten
521,red block equals ten and green block equals fifty and yellow block equals twenty
522,red block equals ten and green block equals fifty and yellow block equals thirty
523,red block equals ten and green block equals fifty and yellow block equals forty
524,red block equals ten and green block equals fifty and yellow block equals fifty
525,red block equals ten and purple block equals ten and yellow block equals ten
526,red block equals ten and purple block equals ten and yellow block equals twenty
527,red block equals ten and purple block equals ten and yellow block equals thirty
528,red block equals ten and purple block equals ten and yellow block equals forty
529,red block equals ten and purple block equals ten and yellow block equals fifty
530,red block equals ten and purple block equals twenty and yellow block equals ten
531,red block equals ten and purple block equals twenty and yellow block equals twenty
532,red block equals ten and purple block equals twenty and yellow block equals thirty
533,red block equals ten and purple block equals twenty and yellow block equals forty
534,red block equals ten and purple block equals twenty and yellow block equals fifty
535,red block equals ten and purple block equals thirty and yellow block equals ten
536,red block equals ten and purple block equals thirty and yellow block equals twenty
537,red block equals ten and purple block equals thirty and yellow block equals thirty
538,red block equals ten and purple block equals thirty and yellow block equals forty
539,red block equals ten and purple block equals thirty and yellow block equals fifty
540,red block equals ten and purple block equals forty and yellow block equals ten
541,red block equals ten and purple block equals forty and yellow block equals twenty
542,red block equals ten and purple block equals forty and yellow block equals thirty
543,red block equals ten and purple block equals forty and yellow block equals forty
544,red block equals ten and purple block equals forty and yellow block equals fifty
545,red block equals ten and purple block equals fifty and yellow block equals ten
546,red block equals ten and purple block equals fifty and yellow block equals twenty
547,red block equals ten and purple block equals fifty and yellow block equals thirty
548,red block equals ten and purple block equals fifty and yellow block equals forty
549,red block equals ten and purple block equals fifty and yellow block equals fifty
550,red block equals twenty and blue block equals ten and green block equals ten
551,red block equals twenty and blue block equals ten and green block equals twenty
552,red block equals twenty and blue block equals ten and green block equals thirty
553,red block equals twenty and blue block equals ten and green block equals forty
554,red block equals twenty and blue block equals ten and green block equals fifty
555,red block equals twenty and blue block equals ten and purple block equals ten
556,red block equals twenty and blue block equals ten and purple block equals twenty
557,red block equals twenty and blue block equals ten and purple block equals thirty
558,red block equals twenty and blue block equals ten and purple block equals forty
559,red block equals twenty and blue block equals ten and purple block equals fifty
560,red block equals twenty and blue block equals ten and yellow block equals ten
561,red block equals twenty and blue block equals ten and yellow block equals twenty
562,red block equals twenty and blue block equals ten and yellow block equals thirty
563,red block equals twenty and blue block equals ten and yellow block equals forty
564,red block equals twenty and blue block equals ten and yellow block equals fifty
565,red block equals twenty and blue block equals twenty and green block equals ten
566,red block equals twenty and blue block equals twenty and green block equals twenty
567,red block equals twenty and blue block equals twenty and green block equals thirty
568,red block equals twenty and blue block equals twenty and green block equals forty
569,red block equals twenty and blue block equals twenty and green block equals fifty
570,red block equals twenty and blue block equals twenty and purple block equals ten
571,red block equals twenty and blue block equals twenty and purple block equals twenty
572,red block equals twenty and blue block equals twenty and purple block equals thirty
573,red block equals twenty and blue block equals twenty and purple block equals forty
574,red block equals twenty and blue block equals twenty and purple block equals fifty
575,red block equals twenty and blue block equals twenty and yellow block equals ten
576,red block equals twenty and blue block equals twenty and yellow block equals twenty
577,red block equals twenty and blue block equals twenty and yellow block equals thirty
578,red block equals twenty and blue block equals twenty and yellow block equals forty
579,red block equals twenty and blue block equals twenty and yellow block equals fifty
580,red block equals twenty and blue block equals thirty and green block equals ten
581,red block equals twenty and blue block equals thirty and green block equals twenty
582,red block equals twenty and blue block equals thirty and green block equals thirty
583,red block equals twenty and blue block equals thirty and green block equals forty
584,red block equals twenty and blue block equals thirty and green block equals fifty
585,red block equals twenty and blue block equals thirty and purple block equals ten
586,red block equals twenty and blue block equals thirty and purple block equals twenty
587,red block equals twenty and blue block equals thirty and purple block equals thirty
588,red block equals twenty and blue block equals thirty and purple block equals forty
589,red block equals twenty and blue block equals thirty and purple block equals fifty
590,red block equals twenty and blue block equals thirty and yellow block equals ten
591,red block equals twenty and blue block equals thirty and yellow block equals twenty
592,red block equals twenty and blue block equals thirty and yellow block equals thirty
593,red block equals twenty and blue block equals thirty and yellow block equals forty
594,red block equals twenty and blue block equals thirty and yellow block equals fifty
595,red block equals twenty and blue block equals forty and green block equals ten
596,red block equals twenty and blue block equals forty and green block equals twenty
597,red block equals twenty and blue block equals forty and green block equals thirty
598,red block equals twenty and blue block equals forty and green block equals forty
599,red block equals twenty and blue block equals forty and green block equals fifty
600,red block equals twenty and blue block equals forty and purple block equals ten
601,red block equals twenty and blue block equals forty and purple block equals twenty
602,red block equals twenty and blue block equals forty and purple block equals thirty
603,red block equals twenty and blue block equals forty and purple block equals forty
604,red block equals twenty and blue block equals forty and purple block equals fifty
605,red block equals twenty and blue block equals forty and yellow block equals ten
606,red block equals twenty and blue block equals forty and yellow block equals twenty
607,red block equals twenty and blue block equals forty and yellow block equals thirty
608,red block equals twenty and blue block equals forty and yellow block equals forty
609,red block equals twenty and blue block equals forty and yellow block equals fifty
610,red block equals twenty and blue block equals fifty and green block equals ten
611,red block equals twenty and blue block equals fifty and green block equals twenty
612,red block equals twenty and blue block equals fifty and green block equals thirty
613,red block equals twenty and blue block equals fifty and green block equals forty
614,red block equals twenty and blue block equals fifty and green block equals fifty
615,red block equals twenty and blue block equals fifty and purple block equals ten
616,red block equals twenty and blue block equals fifty and purple block equals twenty
617,red block equals twenty and blue block equals fifty and purple block equals thirty
618,red block equals twenty and blue block equals fifty and purple block equals forty
619,red block equals twenty and blue block equals fifty and purple block equals fifty
620,red block equals twenty and blue block equals fifty and yellow block equals ten
621,red block equals twenty and blue block equals fifty and yellow block equals twenty
622,red block equals twenty and blue block equals fifty and yellow block equals thirty
623,red block equals twenty and blue block equals fifty and yellow block equals forty
624,red block equals twenty and blue block equals fifty and yellow block equals fifty
625,red block equals twenty and green block equals ten and purple block equals ten
626,red block equals twenty and green block equals ten and purple block equals twenty
627,red block equals twenty and green block equals ten and purple block equals thirty
628,red block equals twenty and green block equals ten and purple block equals forty
629,red block equals twenty and green block equals ten and purple block equals fifty
630,red block equals twenty and green block equals ten and yellow block equals ten
631,red block equals twenty and green block equals ten and yellow block equals twenty
632,red block equals twenty and green block equals ten and yellow block equals thirty
633,red block equals twenty and green block equals ten and yellow block equals forty
634,red block equals twenty and green block equals ten and yellow block equals fifty
635,red block equals twenty and green block equals twenty and purple block equals ten
636,red block equals twenty and green block equals twenty and purple block equals twenty
637,red block equals twenty and green block equals twenty and purple block equals thirty
638,red block equals twenty and green block equals twenty and purple block equals forty
639,red block equals twenty and green block equals twenty and purple block equals fifty
640,red block equals twenty and green block equals twenty and yellow block equals ten
641,red block equals twenty and green block equals twenty and yellow block equals twenty
642,red block equals twenty and green block equals twenty and yellow block equals thirty
643,red block equals twenty and green block equals twenty and yellow block equals forty
644,red block equals twenty and green block equals twenty and yellow block equals fifty
645,red block equals twenty and green block equals thirty and purple block equals ten
646,red block equals twenty and green block equals thirty and purple block equals twenty
647,red block equals twenty and green block equals thirty and purple block equals thirty
648,red block equals twenty and green block equals thirty and purple block equals forty
649,red block equals twenty and green block equals thirty and purple block equals fifty
650,red block equals twenty and green block equals thirty and yellow block equals ten
651,red block equals twenty and green block equals thirty and yellow block equals twenty
652,red block equals twenty and green block equals thirty and yellow block equals thirty
653,red block equals twenty and green block equals thirty and yellow block equals forty
654,red block equals twenty and green block equals thirty and yellow block equals fifty
655,red block equals twenty and green block equals forty and purple block equals ten
656,red block equals twenty and green block equals forty and purple block equals twenty
657,red block equals twenty and green block equals forty and purple block equals thirty
658,red block equals twenty and green block equals forty and purple block equals forty
659,red block equals twenty and green block equals forty and purple block equals fifty
660,red block equals twenty and green block equals forty and yellow block equals ten
661,red block equals twenty and green block equals forty and yellow block equals twenty
662,red block equals twenty and green block equals forty and yellow block equals thirty
663,red block equals twenty and green block equals forty and yellow block equals forty
664,red block equals twenty and green block equals forty and yellow block equals fifty
665,red block equals twenty and green block equals fifty and purple block equals ten
666,red block equals twenty and green block equals fifty and purple block equals twenty
667,red block equals twenty and green block equals fifty and purple block equals thirty
668,red block equals twenty and green block equals fifty and purple block equals forty
669,red block equals twenty and green block equals fifty and purple block equals fifty
670,red block equals twenty and green block equals fifty and yellow block equals ten
671,red block equals twenty and green block equals fifty and yellow block equals twenty
672,red block equals twenty and green block equals fifty and yellow block equals thirty
673,red block equals twenty and green block equals fifty and yellow block equals forty
674,red block equals twenty and green block equals fifty and yellow block equals fifty
675,red block equals twenty and purple block equals ten and yellow block equals ten
676,red block equals twenty and purple block equals ten and yellow block equals twenty
677,red block equals twenty and purple block equals ten and yellow block equals thirty
678,red block equals twenty and purple block equals ten and yellow block equals forty
679,red block equals twenty and purple block equals ten and yellow block equals fifty
680,red block equals twenty and purple block equals twenty and yellow block equals ten
681,red block equals twenty and purple block equals twenty and yellow block equals twenty
682,red block equals twenty and purple block equals twenty and yellow block equals thirty
683,red block equals twenty and purple block equals twenty and yellow block equals forty
684,red block equals twenty and purple block equals twenty and yellow block equals fifty
685,red block equals twenty and purple block equals thirty and yellow block equals ten
686,red block equals twenty and purple block equals thirty and yellow block equals twenty
687,red block equals twenty and purple block equals thirty and yellow block equals thirty
688,red block equals twenty and purple block equals thirty and yellow block equals forty
689,red block equals twenty and purple block equals thirty and yellow block equals fifty
