Utterance,Start,End,Group,Participant,Transcript
133,524.42,530.37,2,2,I was thinking one forty first as well but um
134,527.5,528.95,2,3,Is it one fifty on here
135,536.82,543.24,2,2,Honestly I still feel like we should go with one forty first and if not we should actually move to one thirty
136,543.33,546.12,2,2,Sorry one fifty since it's on there
137,548.13,548.52,2,3,One forty
138,549.5,550,2,1,Yeah
139,549.75,550.71,2,2,Yeah
140,551.04,553.11,2,0,
141,555.15,557.19,2,1,Is it wrong
142,557.43,560.52,2,2,Not quite correct
143,561.12,563.42,2,2,One more attempt alright
144,524.42,566.28,2,1,So plus or minus ten right
145,567.03,569.85,2,1,So we can try and
146,580.53,583.02,2,1,I don't know it's probably better if the same hand
147,583.92,585.9,2,2,Yeah
148,592.16,597.32,2,2,I'm feeling the one fifty personally but
149,590.79,591.33,2,1,I don't know I mean
150,595,597.51,2,3,Wait what it it again when it's lined up
151,598.75,602.55,2,2,That's a ten ten that's a twenty
152,597.9,599.5,2,1,Um think yeah these are ten
153,602.91,604.98,2,2,Fifty and that's a thirty
154,607.98,612.63,2,2,And we guessed this was a one forty so our options were one thirty or
155,612.75,614.73,2,2,Off the paper
156,616.02,618,2,2,Together that's one twenty
157,623.01,624.9,2,3,I think it has to do with patterns
158,619.95,623.34,2,2,Um personally 
159,625.26,629.07,2,3,Because it says think about the relationship between the weights of the power blocks
160,629.67,632.49,2,3,And if you do like
161,629.58,630.03,2,2,Oh yeah
162,633.6,635.91,2,0,
163,637.71,639.99,2,3,These add up to twenty
164,640.29,642.9,2,3,These add up to thirty these add up to fifty
165,644.79,647.37,2,3,But that doesn't really make sense either I don't know
166,647.49,649.47,2,1,Yeah I mean this could be
167,649.98,655.71,2,1,This set of two adds up to this one and then the next set of two adds up to that
168,655.86,661.77,2,2,So these would add up to eighty and then eighty plus fifty would be one thirty
169,656.5,658.58,2,3,So it would be eighty and you weigh less
170,664.32,666.3,2,3,And thirty 
171,673.68,676.8,2,3,I think it's just the last two so it would just be fifty and thirty
172,677.25,680.28,2,3,I think it just feels like it's
173,680.52,684.83,2,3,A lot heavier because it's denser and like just carrying that
174,682.33,683.66,2,1,Yeah that might makes sense
175,684.83,686.01,2,2,Were we right then
176,686.58,689.04,2,3,No you're wrong it was eighty
177,689.13,690.47,2,3,Cause I think we did one step too much
178,689.58,671.17,2,1,Yeah it's a pattern
179,691.9,692.04,2,2,Really
180,694.74,696.72,2,4,Have you guys finished the second one
181,697.05,698.25,2,1,Um yeah we just finished
182,697.5,700.29,2,3,Is is the yeah mystery block
183,704.37,706.35,2,0,
184,708.83,715.11,2,4,Ok for the final part of the task read the scenario and estimate the weight of the
185,715.23,719.25,2,4,Second mystery block you will have two attempts to estimate and explain your answer
186,720.81,722.82,2,0,
187,726.81,730.89,2,3,Well that was our one thirty right because that was fifty
188,731.43,733.44,2,1,Yeah so
189,733.56,737.28,2,1,That makes sense yeah fifty and eighty one thirty
190,741.39,747.66,2,1,And then like every set of two I guess and the next block will be the set
191,747.78,753.15,2,1,The like sum of the two previous blocks
192,755.1,757.89,2,0,
193,760.68,763.32,2,3,In order to like
194,763.77,765.75,2,3,Least heavy to most heavy or
195,765.96,772.68,2,1,I guess heaviest to least heaviest maybe because these two add up to that one
196,772.95,775.05,2,1,These two add up to that one
197,775.65,781.08,2,1,These two I guess it doesn't matter which order it's just the sum of the previous two
198,777.95,778.5,2,3,Yeah
199,777.83,778.5,2,1,Yeah
200,783.27,785.49,2,1,And yeah I guess in order of
201,784.33,784.84,2,2,Um
202,785.42,786.66,2,1,Wait yeah
203,789.3,791.28,2,0,
204,792.99,795.12,2,0,
205,801.27,801.92,2,3,Ok we're done
206,801.75,803.25,2,1,Alright cool
