,Common Ground,Label,Transcript,Group
126,purple = 30 and green = 20 and red = 10 and blue = 10,1,"so purple block was thirty right thirty green block was twenty and red block, blue block are tens",10
127,red > 10,0,And we will tell you that this red cube on top is ten grams,1
128,red < 10,0,And we will tell you that this red cube on top is ten grams,1
129,red != 10,0,And we will tell you that this red cube on top is ten grams,1
130,"blue = 10, green = 30, red = 40",0,And we will tell you that this red cube on top is ten grams,1
131,red > 10,0,ok well red block would be nine minus ten,1
132,red < 10,0,ok well red block would be nine minus ten,1
133,red != 10,0,ok well red block would be nine minus ten,1
134,"green = 20, purple = 40, yellow = 20",0,ok well red block would be nine minus ten,1
135,blue != red,0,"red block, blue block seems pretty balanced",1
136,red < blue,0,"red block, blue block seems pretty balanced",1
137,red > blue,0,"red block, blue block seems pretty balanced",1
138,blue < red,0,"red block, blue block seems pretty balanced",1
139,blue != 10,0,yeah ok so now we know that blue block is also ten,1
140,blue > 10,0,yeah ok so now we know that blue block is also ten,1
141,blue < 10,0,yeah ok so now we know that blue block is also ten,1
142,"blue = 50, red = 40, yellow = 30",0,yeah ok so now we know that blue block is also ten,1
143,"green = 20, purple = 20, yellow = 20",0,And then see if there's thats twenty which is not,1
144,purple < 20,0,And then see if there's thats twenty which is not,1
145,"blue = 20, red = 20, yellow = 20",0,And then see if there's thats twenty which is not,1
146,"blue = 20, green = 20, red = 20",0,And then see if there's thats twenty which is not,1
147,"green = 20, purple = 20, yellow = 20",0,And then see if there's thats twenty which is not,1
148,purple < 20,0,And then see if there's thats twenty which is not,1
149,"blue = 20, red = 20, yellow = 20",0,And then see if there's thats twenty which is not,1
150,"blue = 20, green = 20, red = 20",0,And then see if there's thats twenty which is not,1
151,"green = 40, purple = 10, red = 30",0,ok so green block one is probably twenty ten ten twenty,1
152,"green = 10, purple = 20, yellow = 50",0,ok so green block one is probably twenty ten ten twenty,1
153,"green = 20, purple = 20, red = 10",0,ok so green block one is probably twenty ten ten twenty,1
154,"blue = 10, green = 20, red = 50",0,ok so green block one is probably twenty ten ten twenty,1
155,"green = 40, purple = 10, red = 30",0,ok so green block one is probably twenty ten ten twenty,1
156,"green = 10, purple = 20, yellow = 50",0,ok so green block one is probably twenty ten ten twenty,1
157,"green = 20, purple = 20, red = 10",0,ok so green block one is probably twenty ten ten twenty,1
158,"blue = 10, green = 20, red = 50",0,ok so green block one is probably twenty ten ten twenty,1
159,"green = 30, purple = 30, red = 30",0,Ooh its looking like thirty,1
160,yellow < 30,0,Ooh its looking like thirty,1
161,"blue = 30, purple = 30, red = 30",0,Ooh its looking like thirty,1
162,blue < 30,0,Ooh its looking like thirty,1
163,"green = 10, purple = 20, yellow = 50",0,"yeah im thinking that red block, blue block, green block, yellow block, purple block's ten ten twenty thirty",1
164,purple < 20,0,"yeah im thinking that red block, blue block, green block, yellow block, purple block's ten ten twenty thirty",1
165,"green = 30, purple = 50, yellow = 30",0,"yeah im thinking that red block, blue block, green block, yellow block, purple block's ten ten twenty thirty",1
166,"blue = 50, green = 10, red = 40",0,"yeah im thinking that red block, blue block, green block, yellow block, purple block's ten ten twenty thirty",1
167,"green = 10, purple = 20, yellow = 50",0,"thirty fourty fifty correct and purple block, green block's still heavier than yellow block thing",1
168,purple < 20,0,"thirty fourty fifty correct and purple block, green block's still heavier than yellow block thing",1
169,"green = 30, purple = 50, yellow = 30",0,"thirty fourty fifty correct and purple block, green block's still heavier than yellow block thing",1
170,"blue = 50, green = 10, red = 40",0,"thirty fourty fifty correct and purple block, green block's still heavier than yellow block thing",1
171,yellow > 50,0,yeah fifty so we say yellow is fifty,1
172,yellow != 50,0,yeah fifty so we say yellow is fifty,1
173,yellow < 50,0,yeah fifty so we say yellow is fifty,1
174,"blue = 30, purple = 50, yellow = 50",0,yeah fifty so we say yellow is fifty,1
175,red > 10,0,And we can tell you that that red cube right there is ten grams yep and you're going you're going to flip the piece of paper um,2
176,red < 10,0,And we can tell you that that red cube right there is ten grams yep and you're going you're going to flip the piece of paper um,2
177,red != 10,0,And we can tell you that that red cube right there is ten grams yep and you're going you're going to flip the piece of paper um,2
178,yellow < 50,0,And we can tell you that that red cube right there is ten grams yep and you're going you're going to flip the piece of paper um,2
179,blue != red,0,"needle goes over the red line that means red block, blue block're probably equal",2
180,red < blue,0,"needle goes over the red line that means red block, blue block're probably equal",2
181,red > blue,0,"needle goes over the red line that means red block, blue block're probably equal",2
182,blue < red,0,"needle goes over the red line that means red block, blue block're probably equal",2
183,blue != 10,0,so blue block one is probably ten grams too,2
184,blue > 10,0,so blue block one is probably ten grams too,2
185,blue < 10,0,so blue block one is probably ten grams too,2
186,purple = yellow,0,so blue block one is probably ten grams too,2
187,"blue = 20, purple = 10, yellow = 20",0,The first two are ten,2
188,"green = 40, purple = 10, red = 30",0,The first two are ten,2
189,"green = 10, purple = 20, yellow = 50",0,The first two are ten,2
190,"green = 20, purple = 20, red = 10",0,The first two are ten,2
191,green > 10,0,so knowing that uh oh sorry the green one was yeah,2
192,green != 40,0,so knowing that uh oh sorry the green one was yeah,2
193,green < 10,0,so knowing that uh oh sorry the green one was yeah,2
194,green = 10,0,so knowing that uh oh sorry the green one was yeah,2
195,"green = 10, purple = 20, yellow = 50",0,So you know twenty plus ten thirty probably,2
196,purple < 20,0,So you know twenty plus ten thirty probably,2
197,"green = 30, purple = 50, yellow = 30",0,So you know twenty plus ten thirty probably,2
198,"blue = 50, green = 10, red = 40",0,So you know twenty plus ten thirty probably,2
199,purple != 30,0,i guess and there's no increment so five so we could probably just go with thirty on purple block,2
200,purple > 30,0,i guess and there's no increment so five so we could probably just go with thirty on purple block,2
201,purple < 30,0,i guess and there's no increment so five so we could probably just go with thirty on purple block,2
202,"purple = 40, red = 40, yellow = 50",0,i guess and there's no increment so five so we could probably just go with thirty on purple block,2
203,"blue = 20, purple = 10, yellow = 20",0,Which is too much so we'll put twenty right,2
204,"green = 10, purple = 20, yellow = 50",0,Which is too much so we'll put twenty right,2
205,"green = 20, purple = 20, red = 10",0,Which is too much so we'll put twenty right,2
206,purple < 20,0,Which is too much so we'll put twenty right,2
207,"blue = 20, purple = 10, yellow = 20",0,"so purple block, green block's the twenty and the thirty",2
208,"green = 40, purple = 10, red = 30",0,"so purple block, green block's the twenty and the thirty",2
209,"green = 10, purple = 20, yellow = 50",0,"so purple block, green block's the twenty and the thirty",2
210,"green = 20, purple = 20, red = 10",0,"so purple block, green block's the twenty and the thirty",2
211,"green = 10, purple = 20, yellow = 50",0,Oh yeah the twenty and the thirty so we'll go with the fifty,2
212,purple < 20,0,Oh yeah the twenty and the thirty so we'll go with the fifty,2
213,"green = 30, purple = 50, yellow = 30",0,Oh yeah the twenty and the thirty so we'll go with the fifty,2
214,"blue = 50, green = 10, red = 40",0,Oh yeah the twenty and the thirty so we'll go with the fifty,2
215,red > 10,0,We will tell you that the weight of the red cube is ten grams,3
216,red < 10,0,We will tell you that the weight of the red cube is ten grams,3
217,red != 10,0,We will tell you that the weight of the red cube is ten grams,3
218,"blue = 20, purple = 10, yellow = 30",0,We will tell you that the weight of the red cube is ten grams,3
219,blue != red,0,"i think red block, blue block're the same weight yeah",3
220,red < blue,0,"i think red block, blue block're the same weight yeah",3
221,red > blue,0,"i think red block, blue block're the same weight yeah",3
222,blue < red,0,"i think red block, blue block're the same weight yeah",3
223,green != 20,0,sufficient to say green block one's probably twenty or,3
224,green > 20,0,sufficient to say green block one's probably twenty or,3
225,green < 20,0,sufficient to say green block one's probably twenty or,3
226,"green = 50, red = 30, yellow = 10",0,sufficient to say green block one's probably twenty or,3
227,purple != 30,0,the purple one is thirty,3
228,purple > 30,0,the purple one is thirty,3
229,purple < 30,0,the purple one is thirty,3
230,"blue = 20, purple = 30, red = 50",0,the purple one is thirty,3
231,"green = 50, purple = 20, yellow = 30",0,green is twenty and purple is thirty so yellow block weighs to fifty,3
232,"green = 20, purple = 50, yellow = 30",0,green is twenty and purple is thirty so yellow block weighs to fifty,3
233,"green = 30, purple = 50, yellow = 20",0,green is twenty and purple is thirty so yellow block weighs to fifty,3
234,"green = 50, purple = 30, yellow = 20",0,green is twenty and purple is thirty so yellow block weighs to fifty,3
235,green != 20,0,yeah i mentioned here green is twenty,3
236,green > 20,0,yeah i mentioned here green is twenty,3
237,green < 20,0,yeah i mentioned here green is twenty,3
238,blue > red + yellow,0,yeah i mentioned here green is twenty,3
239,yellow > 10,0,yellow is of course not ten but,3
240,yellow = 10,0,yellow is of course not ten but,3
241,yellow < 10,0,yellow is of course not ten but,3
242,"blue = 40, green = 40, yellow = 10",0,yellow is of course not ten but,3
243,"green = 10, purple = 20, yellow = 50",0,"no so when we try purple block, green block both",3
244,purple < 20,0,"no so when we try purple block, green block both",3
245,"green = 30, purple = 50, yellow = 30",0,"no so when we try purple block, green block both",3
246,"blue = 50, green = 10, red = 40",0,"no so when we try purple block, green block both",3
247,yellow > 50,0,so i feel yellow is fifty,3
248,yellow != 50,0,so i feel yellow is fifty,3
249,yellow < 50,0,so i feel yellow is fifty,3
250,blue < green + purple + red + yellow,0,so i feel yellow is fifty,3
251,yellow > 30,0,yellow block's for sure not thirty,3
252,yellow = 30,0,yellow block's for sure not thirty,3
253,yellow < 30,0,yellow block's for sure not thirty,3
254,"blue = 20, purple = 40, yellow = 40",0,yellow block's for sure not thirty,3
255,"green = 10, purple = 20, yellow = 50",0,"yellow block must be red block, blue block, purple block right because comparing yellow block to forty yellow block's",3
256,purple < 20,0,"yellow block must be red block, blue block, purple block right because comparing yellow block to forty yellow block's",3
257,"green = 30, purple = 50, yellow = 30",0,"yellow block must be red block, blue block, purple block right because comparing yellow block to forty yellow block's",3
258,"blue = 50, green = 10, red = 40",0,"yellow block must be red block, blue block, purple block right because comparing yellow block to forty yellow block's",3
259,"green = 10, purple = 20, yellow = 50",0,yeah and yellow block is fifty,3
260,"blue = 50, purple = 40, red = 40",0,yeah and yellow block is fifty,3
261,"blue = 10, green = 20, red = 50",0,yeah and yellow block is fifty,3
262,"green = 30, purple = 50, yellow = 30",0,yeah and yellow block is fifty,3
263,red > 10,0,I will tell you that the red cube is ten grams,4
264,red < 10,0,I will tell you that the red cube is ten grams,4
265,red != 10,0,I will tell you that the red cube is ten grams,4
266,"green = 20, purple = 50, red = 50",0,I will tell you that the red cube is ten grams,4
267,red > 10,0,Well the top is a ten,4
268,green > 10,0,Well the top is a ten,4
269,yellow < 10,0,Well the top is a ten,4
270,blue > 10,0,Well the top is a ten,4
271,"green = 10, purple = 20, yellow = 50",0,"ok there easy so green block is twenty yeah cause red block is ten as long as it's not dropping red block, blue block's the same",4
272,"green = 30, purple = 50, yellow = 30",0,"ok there easy so green block is twenty yeah cause red block is ten as long as it's not dropping red block, blue block's the same",4
273,"blue = 50, green = 10, red = 40",0,"ok there easy so green block is twenty yeah cause red block is ten as long as it's not dropping red block, blue block's the same",4
274,"blue = 50, green = 40, yellow = 50",0,"ok there easy so green block is twenty yeah cause red block is ten as long as it's not dropping red block, blue block's the same",4
275,purple != 30,0,it doesn't drop completely yeah we can consider purple block to be thirty then yeah because it doesn’t drop,4
276,purple > 30,0,it doesn't drop completely yeah we can consider purple block to be thirty then yeah because it doesn’t drop,4
277,purple < 30,0,it doesn't drop completely yeah we can consider purple block to be thirty then yeah because it doesn’t drop,4
278,"blue = 50, green = 20, purple = 30",0,it doesn't drop completely yeah we can consider purple block to be thirty then yeah because it doesn’t drop,4
279,"blue = 20, purple = 10, yellow = 20",0,it doesn't drop completely yeah we can consider purple block to be thirty then yeah because it doesn’t drop,4
280,"green = 40, purple = 10, red = 30",0,it doesn't drop completely yeah we can consider purple block to be thirty then yeah because it doesn’t drop,4
281,"green = 10, purple = 20, yellow = 50",0,it doesn't drop completely yeah we can consider purple block to be thirty then yeah because it doesn’t drop,4
282,"green = 20, purple = 20, red = 10",0,it doesn't drop completely yeah we can consider purple block to be thirty then yeah because it doesn’t drop,4
283,"blue = 20, purple = 10, yellow = 20",0,well purple block's not and purple block's not twenty yeah purple block's gotta be thirty,4
284,"green = 40, purple = 10, red = 30",0,well purple block's not and purple block's not twenty yeah purple block's gotta be thirty,4
285,"green = 10, purple = 20, yellow = 50",0,well purple block's not and purple block's not twenty yeah purple block's gotta be thirty,4
286,"green = 20, purple = 20, red = 10",0,well purple block's not and purple block's not twenty yeah purple block's gotta be thirty,4
287,"blue = 20, purple = 10, yellow = 20",0,well purple block's not and purple block's not twenty yeah purple block's gotta be thirty,4
288,"green = 40, purple = 10, red = 30",0,well purple block's not and purple block's not twenty yeah purple block's gotta be thirty,4
289,"green = 10, purple = 20, yellow = 50",0,well purple block's not and purple block's not twenty yeah purple block's gotta be thirty,4
290,"green = 20, purple = 20, red = 10",0,well purple block's not and purple block's not twenty yeah purple block's gotta be thirty,4
291,"green = 10, purple = 20, yellow = 50",0,uh so yellow we or red and blue there's no there's no ok,4
292,"green = 30, purple = 50, yellow = 30",0,uh so yellow we or red and blue there's no there's no ok,4
293,"blue = 50, green = 10, red = 40",0,uh so yellow we or red and blue there's no there's no ok,4
294,"blue = 50, green = 40, yellow = 50",0,uh so yellow we or red and blue there's no there's no ok,4
295,blue != 10,0,blue is ten,4
296,blue > 10,0,blue is ten,4
297,blue < 10,0,blue is ten,4
298,"green = 50, red = 10, yellow = 40",0,blue is ten,4
299,yellow > 50,0,and so that would mean yellow is fifty,4
300,yellow != 50,0,and so that would mean yellow is fifty,4
301,yellow < 50,0,and so that would mean yellow is fifty,4
302,"blue = 50, purple = 10, red = 20",0,and so that would mean yellow is fifty,4
303,red > 10,0,I can tell you that the red cube is ten grams,5
304,red < 10,0,I can tell you that the red cube is ten grams,5
305,red != 10,0,I can tell you that the red cube is ten grams,5
306,"blue = 30, green = 20, red = 20",0,I can tell you that the red cube is ten grams,5
307,red > 10,0,alright reese you can fill out the survey on the end over there ok so we know red block is ten grams,5
308,red < 10,0,alright reese you can fill out the survey on the end over there ok so we know red block is ten grams,5
309,red != 10,0,alright reese you can fill out the survey on the end over there ok so we know red block is ten grams,5
310,"green = 10, purple = 40, red = 30",0,alright reese you can fill out the survey on the end over there ok so we know red block is ten grams,5
311,blue != red,0,"i'd say red block, blue block's basically the same because it's teetering",5
312,red < blue,0,"i'd say red block, blue block's basically the same because it's teetering",5
313,red > blue,0,"i'd say red block, blue block's basically the same because it's teetering",5
314,blue < red,0,"i'd say red block, blue block's basically the same because it's teetering",5
315,"blue = 20, purple = 10, yellow = 20",0,"ok so yeah that scale so red block, blue block are both ten",5
316,"green = 40, purple = 10, red = 30",0,"ok so yeah that scale so red block, blue block are both ten",5
317,"green = 10, purple = 20, yellow = 50",0,"ok so yeah that scale so red block, blue block are both ten",5
318,"green = 20, purple = 20, red = 10",0,"ok so yeah that scale so red block, blue block are both ten",5
319,green != 20,0,so green block one's twenty,5
320,green > 20,0,so green block one's twenty,5
321,green < 20,0,so green block one's twenty,5
322,blue != green + purple + red + yellow,0,so green block one's twenty,5
323,"blue = 20, purple = 10, yellow = 20",0,"so red block, blue block are both ten in theory ten ten twenty",5
324,"green = 40, purple = 10, red = 30",0,"so red block, blue block are both ten in theory ten ten twenty",5
325,"green = 20, purple = 20, red = 10",0,"so red block, blue block are both ten in theory ten ten twenty",5
326,"blue = 10, green = 20, red = 50",0,"so red block, blue block are both ten in theory ten ten twenty",5
327,green != 20,0,so the green we think is twenty ok so let's see we can use our hands as well,5
328,green > 20,0,so the green we think is twenty ok so let's see we can use our hands as well,5
329,green < 20,0,so the green we think is twenty ok so let's see we can use our hands as well,5
330,"blue = 50, green = 20, purple = 40",0,so the green we think is twenty ok so let's see we can use our hands as well,5
331,"green = 10, purple = 20, yellow = 50",0,purple block is heavier than green block one so green block is twenty purple block is heavier than green block one,5
332,purple < 20,0,purple block is heavier than green block one so green block is twenty purple block is heavier than green block one,5
333,"green = 30, purple = 50, yellow = 30",0,purple block is heavier than green block one so green block is twenty purple block is heavier than green block one,5
334,"blue = 50, green = 10, red = 40",0,purple block is heavier than green block one so green block is twenty purple block is heavier than green block one,5
335,purple < 20,0,ok so purple block's heavier ok ok so greather than twenty,5
336,purple = 20,0,ok so purple block's heavier ok ok so greather than twenty,5
337,purple != 20,0,ok so purple block's heavier ok ok so greather than twenty,5
338,"purple = 40, red = 50, yellow = 10",0,ok so purple block's heavier ok ok so greather than twenty,5
339,"blue = 20, purple = 10, yellow = 20",0,teeter teeter we know purple block's less than forty and greater than twenty so purple block's likely thirty we don't have any other options it purple block's gonna be thirty,5
340,"green = 40, purple = 10, red = 30",0,teeter teeter we know purple block's less than forty and greater than twenty so purple block's likely thirty we don't have any other options it purple block's gonna be thirty,5
341,"green = 10, purple = 20, yellow = 50",0,teeter teeter we know purple block's less than forty and greater than twenty so purple block's likely thirty we don't have any other options it purple block's gonna be thirty,5
342,"green = 20, purple = 20, red = 10",0,teeter teeter we know purple block's less than forty and greater than twenty so purple block's likely thirty we don't have any other options it purple block's gonna be thirty,5
343,"blue = 20, purple = 10, yellow = 20",0,Thirty twenty,5
344,"green = 40, purple = 10, red = 30",0,Thirty twenty,5
345,"green = 10, purple = 20, yellow = 50",0,Thirty twenty,5
346,"green = 20, purple = 20, red = 10",0,Thirty twenty,5
347,"green = 10, purple = 20, yellow = 50",0,"purple block, green block looks almost a little bit heavier but it is it's close enough so fifty is not an option yeah definitely let's put sixty",5
348,"blue = 50, purple = 40, red = 40",0,"purple block, green block looks almost a little bit heavier but it is it's close enough so fifty is not an option yeah definitely let's put sixty",5
349,"blue = 10, green = 20, red = 50",0,"purple block, green block looks almost a little bit heavier but it is it's close enough so fifty is not an option yeah definitely let's put sixty",5
350,"green = 30, purple = 50, yellow = 30",0,"purple block, green block looks almost a little bit heavier but it is it's close enough so fifty is not an option yeah definitely let's put sixty",5
351,"green = 10, purple = 20, yellow = 50",0,"and purple block is thirty right and red block is ten so purple block, red block would be forty so yellow block's more than forty and less than sixty so yellow block's gotta be fifty",5
352,"green = 30, purple = 50, yellow = 30",0,"and purple block is thirty right and red block is ten so purple block, red block would be forty so yellow block's more than forty and less than sixty so yellow block's gotta be fifty",5
353,"blue = 50, green = 10, red = 40",0,"and purple block is thirty right and red block is ten so purple block, red block would be forty so yellow block's more than forty and less than sixty so yellow block's gotta be fifty",5
354,"blue = 50, green = 40, yellow = 50",0,"and purple block is thirty right and red block is ten so purple block, red block would be forty so yellow block's more than forty and less than sixty so yellow block's gotta be fifty",5
355,"green = 40, purple = 10, red = 30",0,i think yellow block is fifty and purple block is thirty,5
356,"green = 10, purple = 20, yellow = 50",0,i think yellow block is fifty and purple block is thirty,5
357,"blue = 50, purple = 40, red = 40",0,i think yellow block is fifty and purple block is thirty,5
358,"blue = 10, green = 20, red = 50",0,i think yellow block is fifty and purple block is thirty,5
359,purple != 30,0,yeah let's go thirty ok so purple block's thirty,5
360,purple > 30,0,yeah let's go thirty ok so purple block's thirty,5
361,purple < 30,0,yeah let's go thirty ok so purple block's thirty,5
362,"green = 30, purple = 20, yellow = 30",0,yeah let's go thirty ok so purple block's thirty,5
363,red > 10,0,I will tell you that the red cube is ten grams,6
364,red < 10,0,I will tell you that the red cube is ten grams,6
365,red != 10,0,I will tell you that the red cube is ten grams,6
